measured_roll,measured_pitch,measured_yaw,filtered_roll,filtered_pitch,filtered_yaw
2.936,-0.967,0.000,2.994,-0.528,-3.105
3.128,-0.938,0.000,2.989,-0.571,-3.101
3.008,-1.282,0.000,2.985,-0.615,-3.098
-0.275,-1.449,0.000,2.980,-0.659,-3.095
0.299,-1.248,-0.000,2.975,-0.703,-3.090
0.442,-1.224,0.000,2.971,-0.746,-3.084
0.004,-0.717,0.000,2.964,-0.789,-3.073
0.046,-0.619,0.000,2.952,-0.831,-3.056
0.134,-0.424,-0.000,2.937,-0.873,-3.034
0.102,-0.290,0.000,2.919,-0.914,-3.009
0.061,-0.284,0.000,2.901,-0.955,-2.984
0.039,-0.258,0.000,2.880,-0.997,-2.958
-0.011,-0.108,0.000,2.854,-1.038,-2.931
0.048,0.128,0.000,2.821,-1.079,-2.899
0.095,0.132,0.000,2.783,-1.120,-2.864
0.028,0.076,0.000,2.741,-1.160,-2.826
0.011,0.068,-0.000,2.688,-1.200,-2.776
-0.005,0.155,0.000,2.626,-1.233,-2.718
-0.075,0.235,0.000,2.548,-1.264,-2.643
-0.014,0.227,0.000,2.465,-1.287,-2.563
-0.018,0.333,-0.000,2.380,-1.306,-2.482
-0.024,0.392,0.000,2.297,-1.322,-2.403
0.029,0.355,-0.000,2.237,-1.334,-2.346
0.020,0.339,0.000,2.198,-1.342,-2.309
-0.026,0.315,-0.000,2.183,-1.346,-2.295
0.023,0.253,0.000,2.204,-1.345,-2.317
-0.043,0.320,-0.000,2.254,-1.338,-2.370
-0.002,0.355,0.000,2.321,-1.328,-2.437
-0.026,0.278,0.000,2.395,-1.313,-2.510
0.025,0.129,0.000,2.487,-1.288,-2.600
-0.054,0.183,0.000,2.578,-1.254,-2.692
-0.039,0.305,0.000,2.650,-1.217,-2.765
-0.001,0.143,0.000,2.709,-1.179,-2.824
-0.110,-0.102,0.000,2.754,-1.140,-2.872
-0.062,-0.075,0.000,2.786,-1.100,-2.910
-0.005,-0.130,0.000,2.808,-1.058,-2.941
0.013,-0.251,0.000,2.829,-1.017,-2.971
-0.018,-0.251,-0.000,2.846,-0.976,-2.997
0.046,-0.337,0.000,2.862,-0.935,-3.022
-0.043,-0.550,0.000,2.875,-0.893,-3.045
-0.128,-0.630,0.000,2.881,-0.851,-3.062
-0.038,-0.619,0.000,2.883,-0.809,-3.077
0.014,-0.618,0.000,2.886,-0.767,-3.094
-0.073,-0.642,0.000,2.890,-0.725,-3.111
-0.139,-0.896,0.000,2.893,-0.682,-3.123
-0.315,-1.164,0.000,2.894,-0.638,-3.128
-0.227,-1.330,-0.000,2.893,-0.593,-3.129
-0.214,-1.282,0.000,2.890,-0.548,-3.129
-0.132,-1.248,-0.000,2.889,-0.504,-3.132
-1.279,-1.514,-0.000,2.888,-0.459,-3.134
3.012,-1.067,0.000,2.888,-0.415,-3.137
-3.110,-0.529,0.000,2.886,-0.370,-3.139
3.132,-0.823,-0.000,2.880,-0.325,-3.141
3.118,-0.829,0.000,2.874,-0.281,3.141
2.930,-0.651,0.000,2.869,-0.235,3.141
2.906,-0.499,0.000,2.867,-0.190,3.141
3.123,-0.045,0.000,2.868,-0.145,3.140
-3.085,-0.148,0.000,2.864,-0.100,3.139
3.133,-0.177,0.000,2.855,-0.055,3.137
3.001,-0.286,0.000,2.843,-0.010,3.135
2.884,-0.193,0.000,2.833,0.035,3.132
2.801,0.193,0.000,2.825,0.079,3.127
2.822,0.285,-0.000,2.822,0.123,3.120
2.987,0.364,-0.000,2.820,0.167,3.114
2.982,0.424,0.000,2.817,0.204,3.110
2.930,0.502,0.000,2.816,0.232,3.110
2.893,0.598,0.000,2.814,0.249,3.112
2.783,0.508,0.000,2.818,0.233,3.116
2.853,0.465,0.000,2.823,0.210,3.120
2.887,0.399,0.000,2.830,0.177,3.126
2.998,0.292,0.000,2.838,0.134,3.136
3.054,0.105,0.000,2.844,0.092,-3.136
2.987,-0.145,0.000,2.850,0.050,-3.124
3.080,0.022,0.000,2.854,0.007,-3.114
2.984,-0.027,0.000,2.857,-0.035,-3.104
3.000,0.046,0.000,2.860,-0.078,-3.095
3.026,-0.061,0.000,2.862,-0.122,-3.088
3.078,-0.444,0.000,2.862,-0.165,-3.082
2.986,-0.723,0.000,2.861,-0.209,-3.076
2.982,-0.630,0.000,2.860,-0.252,-3.068
2.939,-0.521,0.000,2.859,-0.295,-3.060
2.984,-0.554,0.000,2.856,-0.339,-3.052
2.909,-0.588,0.000,2.852,-0.383,-3.047
2.964,-1.071,0.000,2.849,-0.427,-3.044
-2.987,-1.152,0.000,2.841,-0.472,-3.041
-2.868,-1.203,-0.000,2.830,-0.517,-3.037
2.683,-1.402,0.000,2.819,-0.557,-3.033
1.510,-1.450,0.000,2.809,-0.601,-3.024
1.381,-0.993,0.000,2.807,-0.644,-3.014
1.300,-1.538,0.000,2.806,-0.687,-3.002
-0.616,-1.545,0.000,2.800,-0.730,-2.988
-0.608,-1.302,0.000,2.784,-0.772,-2.971
0.098,-1.167,-0.000,2.765,-0.813,-2.951
0.069,-0.968,0.000,2.745,-0.854,-2.929
0.110,-0.883,-0.000,2.727,-0.895,-2.905
