ax, ay, az, gx, gy, gz, temp
7.47949, -1.60651, -6.90727, 0.35573, 2.73617, 0.10086, 25.77731
8.17141, -0.83797, -5.91128, 0.45552, 2.26613, -0.10392, 25.92108
7.63750, -2.45885, -6.86178, 0.43900, 2.33488, -0.11871, 25.92108
8.47547, -1.39582, -4.99430, 0.22263, 2.38830, -0.21623, 25.87315
8.98783, -1.58496, -4.19464, 0.15002, 1.50205, -0.00320, 25.87315
8.40604, -1.60172, -3.57454, -0.10472, 1.44849, -0.21637, 25.77731
8.24563, -1.41258, -3.47159, -0.02571, 1.46381, -0.07141, 25.87315
8.50899, -1.52511, -3.00712, -0.06262, 1.70323, -0.13443, 25.72939
8.86573, -1.24498, -2.54264, -0.15934, 1.42304, 0.00853, 25.72939
9.52174, -0.69192, -1.06063, -0.17920, 0.72851, 0.02585, 25.72939
10.14663, -0.86191, -0.71587, -0.06062, 0.12484, 0.12590, 25.72939
10.49139, -1.44370, -0.82361, -0.11924, 0.10818, -0.09673, 25.77731
10.78588, -1.33118, -0.86431, -0.06368, -0.40089, -0.02771, 25.77731
9.90481, -1.66636, -1.70467, 0.00333, -0.83842, -0.13137, 25.72939
9.27035, -0.72784, -1.50356, -0.01479, -1.13460, -0.08607, 25.87315
9.93115, -0.85712, -0.83558, -0.07288, -2.05922, 0.06888, 25.92108
8.32703, -0.84515, -2.95444, 0.02998, -2.77441, 0.09566, 25.77731
9.36851, -1.82438, -3.47399, -0.24488, -3.46534, -0.08500, 25.96900
7.53216, -1.05345, -5.16669, -0.05862, -4.36572, 0.10805, 25.92108
5.08289, -1.24020, -7.98945, -0.13736, -3.25138, -0.16321, 25.87315
5.27443, -0.40701, -7.05811, -0.09792, -3.05966, 0.06848, 25.68146
3.27287, -1.82917, -9.90242, -0.00253, -3.30200, 0.04703, 25.68146
4.21858, -0.78290, -8.61673, -0.31296, -2.41775, 0.12590, 25.77731
2.80600, -0.51954, -8.23366, -0.13989, -3.54528, 0.04330, 25.77731
0.67038, -0.97683, -10.81461, -0.23928, -3.39327, -0.02198, 25.77731
1.35512, -0.30406, -9.12430, -0.12297, -3.50225, 0.25834, 25.87315
-2.85628, -0.66798, -9.06924, -0.07528, -3.65986, 0.11738, 25.92108
-1.42694, -0.49560, -8.28633, -0.40049, -3.28841, 0.53039, 25.87315
-5.09486, -1.00796, -9.96227, -0.16321, -3.16997, -0.07994, 25.92108
-4.42927, -0.33519, -7.11796, -0.34267, -3.58579, 0.22836, 25.87315
-7.94396, -0.46208, -7.80510, -0.49522, -2.26200, 0.31323, 25.72939
-5.22415, 0.95768, -3.82354, -0.28472, -3.45096, 0.39929, 25.92108
-8.69335, -0.61052, -5.99269, -0.18639, -3.41658, 0.30856, 25.77731
-7.99185, 0.95529, -3.69186, -0.49669, -1.61823, -0.00053, 25.77731
-8.02536, 1.41018, -2.27449, 0.23835, -3.20021, 0.19239, 25.77731
-10.86728, 0.25618, -3.30400, -0.09659, -1.98221, -0.05249, 25.77731
-8.96150, 1.20428, -0.08140, 0.12963, -2.41215, 0.03171, 25.92108
-11.08755, -0.07183, -1.59693, 0.17080, -2.21897, 0.10752, 25.77731
-9.52653, 0.63686, 0.75896, 0.21117, -1.60930, 0.11258, 25.87315
-9.72046, 0.83558, 0.75657, 0.41688, -1.80901, 0.09180, 26.06485
-11.25035, -0.36631, -0.30406, 0.10112, -1.09476, 0.08380, 25.72939
-9.03332, 0.98641, 1.41258, -0.19372, 0.20078, -0.07781, 25.87315
-9.73243, 0.76614, 1.05105, -0.03304, 0.15362, -0.03238, 25.68146
-10.45787, 0.18196, 0.54588, -0.24661, 0.81844, -0.08620, 25.92108
-10.02692, 0.59376, 1.14682, -0.19798, 1.20601, -0.02358, 25.72939
-10.52491, 0.30646, 0.42856, 0.00453, 1.16844, -0.05742, 25.77731
-10.75236, 0.54348, -0.07901, -0.19372, 2.43707, -0.03624, 25.72939
-9.05727, 0.87388, -0.46208, -0.13390, 2.99357, -0.14909, 25.87315
-8.88249, 0.19872, -2.84192, 0.05409, 2.59375, -0.21890, 25.87315
-9.74679, -0.00479, -3.81396, -0.15135, 3.37408, -0.36012, 25.87315
