measured_roll,measured_pitch,measured_yaw,filtered_roll,filtered_pitch,filtered_yaw
0.730,0.178,0.642,0.488,1.445,0.014
0.690,0.221,0.656,0.697,1.516,0.077
0.474,0.548,0.451,1.796,1.503,0.105
0.384,0.638,0.345,2.028,1.455,-0.025
0.028,0.807,0.021,3.043,1.267,0.008
0.001,-0.826,0.000,-3.136,1.194,0.001
0.019,0.853,0.012,3.095,1.091,0.001
0.033,0.886,0.017,3.068,0.967,-0.001
0.003,0.889,0.001,3.133,0.952,-0.000
0.035,0.908,0.016,3.068,0.864,-0.001
0.031,-0.942,0.011,-3.071,0.670,-0.001
0.011,-0.962,0.003,-3.116,0.555,-0.000
0.007,-0.980,0.002,-3.126,0.409,0.000
0.036,-0.994,0.004,-3.072,0.218,0.000
0.010,0.999,0.001,3.118,0.095,0.000
0.033,-0.999,0.000,-3.073,0.009,-0.000
0.033,-0.999,-0.001,-3.075,-0.040,0.000
0.016,-0.995,-0.002,-3.108,-0.184,-0.000
0.035,-0.992,-0.004,-3.073,-0.239,0.000
0.031,-0.985,-0.005,-3.078,-0.340,0.000
0.071,-0.969,-0.017,-2.999,-0.469,0.001
0.023,-0.961,-0.007,-3.089,-0.554,0.000
0.054,-0.948,-0.018,-3.031,-0.632,0.001
0.051,-0.936,-0.019,-3.032,-0.706,0.000
0.054,-0.918,-0.023,-3.025,-0.804,0.000
0.093,-0.893,-0.046,-2.937,-0.908,0.001
0.075,-0.887,-0.039,-2.971,-0.942,0.001
0.072,-0.872,-0.040,-2.978,-1.008,0.001
0.116,-0.878,-0.061,-2.883,-0.966,0.001
0.120,-0.861,-0.068,-2.866,-1.031,0.001
0.105,-0.853,-0.062,-2.896,-1.070,0.001
0.105,-0.834,-0.067,-2.892,-1.141,0.001
0.124,-0.831,-0.080,-2.847,-1.145,0.001
0.110,-0.808,-0.078,-2.869,-1.231,0.000
0.124,-0.814,-0.086,-2.839,-1.208,-0.001
0.089,-0.815,-0.062,-2.920,-1.218,-0.001
0.034,-0.814,-0.024,-3.053,-1.237,-0.000
0.125,-0.803,-0.089,-2.842,-1.244,-0.000
0.176,-0.802,-0.122,-2.713,-1.218,-0.003
0.079,-0.857,-0.047,-2.949,-1.075,0.000
0.090,-0.853,-0.054,-2.932,-1.080,-0.001
0.079,-0.902,-0.037,-2.966,-0.884,-0.001
0.045,-0.893,-0.023,-3.037,-0.926,-0.001
0.028,-0.923,-0.011,-3.080,-0.794,-0.000
0.055,-0.935,-0.020,-3.027,-0.718,-0.000
0.031,0.905,-0.015,3.065,-0.882,0.001
0.032,0.924,-0.013,3.071,-0.786,0.000
0.031,-0.980,-0.006,-3.073,-0.376,0.001
0.051,-0.984,-0.009,-3.040,-0.342,-0.000
0.016,-0.998,-0.001,-3.108,-0.118,0.000
0.000,0.999,-0.000,3.140,-0.106,0.000
0.008,1.000,0.000,3.127,0.007,0.000
0.007,-1.000,0.000,-3.127,0.033,0.000
0.036,-0.995,0.003,-3.072,0.181,-0.000
0.036,0.993,0.004,3.063,0.233,-0.000
0.013,0.983,0.002,3.113,0.367,-0.000
0.027,0.982,0.005,3.087,0.378,0.000
0.052,0.965,0.014,3.036,0.513,0.000
0.018,0.954,0.006,3.100,0.604,-0.000
0.073,0.934,0.027,2.990,0.712,0.001
0.005,0.931,0.002,3.126,0.745,-0.000
0.065,0.909,0.029,3.005,0.843,0.001
0.002,0.892,0.001,3.133,0.932,-0.000
0.019,0.851,0.012,3.099,1.099,0.000
0.061,0.812,0.044,2.997,1.231,0.002
0.081,0.817,0.057,2.946,1.216,0.001
