m_qw,m_qx,m_qy,m_qz,f_qw,f_qx,f_qy,f_qz
0.999997,0.001896,0.001243,-0.000002,0.999986,0.004711,0.002238,-0.001015
0.999997,0.001997,0.001305,-0.000003,0.999987,0.004593,0.002179,-0.001012
0.999997,0.002081,0.001358,-0.000003,0.999987,0.004484,0.002126,-0.001008
0.999997,0.002140,0.001392,-0.000003,0.999988,0.004384,0.002077,-0.001004
0.999997,0.002176,0.001405,-0.000003,0.999988,0.004291,0.002032,-0.000999
0.999997,0.002189,0.001405,-0.000003,0.999989,0.004203,0.001990,-0.000994
0.999997,0.002180,0.001401,-0.000003,0.999989,0.004119,0.001949,-0.000988
0.999997,0.002149,0.001395,-0.000003,0.999990,0.004038,0.001911,-0.000983
0.999997,0.002102,0.001384,-0.000003,0.999990,0.003958,0.001876,-0.000978
0.999997,0.002047,0.001366,-0.000003,0.999990,0.003880,0.001841,-0.000974
0.999997,0.001993,0.001346,-0.000003,0.999991,0.003804,0.001808,-0.000971
0.999997,0.001949,0.001328,-0.000003,0.999991,0.003730,0.001776,-0.000968
0.999997,0.001924,0.001318,-0.000003,0.999991,0.003659,0.001746,-0.000967
0.999997,0.001919,0.001317,-0.000003,0.999992,0.003593,0.001718,-0.000967
0.999997,0.001934,0.001318,-0.000003,0.999992,0.003531,0.001691,-0.000969
0.999997,0.001970,0.001315,-0.000003,0.999992,0.003476,0.001667,-0.000972
0.999997,0.002019,0.001300,-0.000003,0.999992,0.003427,0.001642,-0.000976
0.999997,0.002074,0.001270,-0.000003,0.999992,0.003384,0.001618,-0.000981
0.999997,0.002129,0.001228,-0.000003,0.999993,0.003348,0.001592,-0.000986
0.999997,0.002180,0.001176,-0.000003,0.999993,0.003317,0.001563,-0.000991
0.999997,0.002224,0.001115,-0.000002,0.999993,0.003291,0.001532,-0.000997
0.999997,0.002254,0.001048,-0.000002,0.999993,0.003270,0.001498,-0.001002
0.999997,0.002266,0.000975,-0.000002,0.999993,0.003250,0.001459,-0.001006
0.999997,0.002258,0.000897,-0.000002,0.999993,0.003232,0.001417,-0.001009
0.999997,0.002228,0.000816,-0.000002,0.999993,0.003213,0.001372,-0.001012
0.999997,0.002175,0.000737,-0.000002,0.999994,0.003192,0.001324,-0.001014
0.999998,0.002097,0.000670,-0.000001,0.999994,0.003167,0.001273,-0.001015
0.999998,0.001995,0.000626,-0.000001,0.999994,0.003137,0.001224,-0.001014
0.999998,0.001875,0.000614,-0.000001,0.999994,0.003101,0.001176,-0.001013
0.999998,0.001745,0.000632,-0.000001,0.999994,0.003059,0.001133,-0.001010
0.999998,0.001620,0.000669,-0.000001,0.999994,0.003011,0.001095,-0.001007
0.999999,0.001513,0.000706,-0.000001,0.999995,0.002959,0.001062,-0.001002
0.999999,0.001439,0.000726,-0.000001,0.999995,0.002906,0.001033,-0.000998
0.999999,0.001401,0.000721,-0.000001,0.999995,0.002853,0.001006,-0.000993
0.999999,0.001397,0.000694,-0.000001,0.999995,0.002802,0.000980,-0.000987
0.999999,0.001421,0.000656,-0.000001,0.999995,0.002755,0.000953,-0.000982
0.999999,0.001464,0.000616,-0.000001,0.999995,0.002713,0.000927,-0.000976
0.999999,0.001513,0.000575,-0.000001,0.999996,0.002676,0.000900,-0.000970
0.999999,0.001555,0.000532,-0.000001,0.999996,0.002642,0.000873,-0.000965
0.999999,0.001578,0.000488,-0.000001,0.999996,0.002611,0.000845,-0.000959
0.999999,0.001574,0.000450,-0.000001,0.999996,0.002581,0.000817,-0.000954
0.999999,0.001544,0.000425,-0.000001,0.999996,0.002550,0.000790,-0.000949
0.999999,0.001495,0.000423,-0.000001,0.999996,0.002518,0.000765,-0.000945
0.999999,0.001439,0.000451,-0.000001,0.999996,0.002483,0.000742,-0.000941
0.999999,0.001386,0.000513,-0.000001,0.999996,0.002447,0.000725,-0.000938
0.999999,0.001339,0.000602,-0.000001,0.999996,0.002410,0.000713,-0.000936
0.999999,0.001301,0.000711,-0.000001,0.999996,0.002372,0.000708,-0.000934
0.999999,0.001276,0.000835,-0.000001,0.999997,0.002335,0.000709,-0.000934
0.999999,0.001267,0.000973,-0.000001,0.999997,0.002300,0.000719,-0.000935
0.999999,0.001274,0.001121,-0.000001,0.999997,0.002267,0.000737,-0.000937
0.999998,0.001298,0.001272,-0.000002,0.999997,0.002237,0.000762,-0.000941
0.999998,0.001339,0.001416,-0.000002,0.999997,0.002212,0.000794,-0.000946
0.999998,0.001393,0.001547,-0.000002,0.999997,0.002191,0.000832,-0.000952
0.999998,0.001457,0.001665,-0.000002,0.999997,0.002176,0.000875,-0.000959
0.999997,0.001530,0.001767,-0.000003,0.999997,0.002166,0.000922,-0.000968
0.999997,0.001616,0.001855,-0.000003,0.999997,0.002162,0.000971,-0.000978
0.999997,0.001716,0.001927,-0.000003,0.999997,0.002165,0.001022,-0.000987
0.999996,0.001827,0.001981,-0.000004,0.999997,0.002175,0.001072,-0.000997
0.999996,0.001942,0.002016,-0.000004,0.999996,0.002192,0.001122,-0.001007
0.999996,0.002056,0.002029,-0.000004,0.999996,0.002216,0.001169,-0.001016
0.999996,0.002166,0.002021,-0.000004,0.999996,0.002245,0.001213,-0.001024
0.999995,0.002270,0.001997,-0.000005,0.999996,0.002280,0.001252,-0.001030
0.999995,0.002357,0.001966,-0.000005,0.999996,0.002318,0.001287,-0.001034
0.999995,0.002419,0.001938,-0.000005,0.999996,0.002359,0.001318,-0.001037
0.999995,0.002446,0.001914,-0.000005,0.999996,0.002400,0.001346,-0.001039
0.999995,0.002434,0.001894,-0.000005,0.999996,0.002438,0.001372,-0.001039
0.999995,0.002387,0.001872,-0.000004,0.999995,0.002473,0.001395,-0.001038
0.999996,0.002313,0.001845,-0.000004,0.999995,0.002501,0.001416,-0.001036
0.999996,0.002226,0.001809,-0.000004,0.999995,0.002524,0.001435,-0.001034
0.999996,0.002136,0.001766,-0.000004,0.999995,0.002541,0.001451,-0.001032
0.999996,0.002053,0.001717,-0.000004,0.999995,0.002552,0.001464,-0.001030
0.999997,0.001978,0.001661,-0.000003,0.999995,0.002558,0.001474,-0.001030
0.999997,0.001907,0.001595,-0.000003,0.999995,0.002559,0.001480,-0.001030
0.999997,0.001833,0.001527,-0.000003,0.999995,0.002555,0.001483,-0.001030
0.999997,0.001750,0.001464,-0.000003,0.999995,0.002546,0.001483,-0.001032
0.999998,0.001663,0.001416,-0.000002,0.999995,0.002533,0.001480,-0.001034
0.999998,0.001581,0.001383,-0.000002,0.999995,0.002515,0.001476,-0.001037
0.999998,0.001513,0.001360,-0.000002,0.999995,0.002495,0.001470,-0.001040
0.999998,0.001462,0.001337,-0.000002,0.999995,0.002473,0.001464,-0.001043
0.999998,0.001428,0.001311,-0.000002,0.999995,0.002451,0.001455,-0.001047
0.999998,0.001412,0.001279,-0.000002,0.999995,0.002430,0.001445,-0.001051
0.999998,0.001409,0.001246,-0.000002,0.999996,0.002412,0.001433,-0.001054
0.999998,0.001418,0.001217,-0.000002,0.999996,0.002395,0.001419,-0.001057
0.999998,0.001436,0.001199,-0.000002,0.999996,0.002381,0.001405,-0.001060
0.999998,0.001463,0.001190,-0.000002,0.999996,0.002371,0.001390,-0.001062
0.999998,0.001500,0.001184,-0.000002,0.999996,0.002363,0.001375,-0.001063
0.999998,0.001547,0.001175,-0.000002,0.999996,0.002359,0.001360,-0.001064
0.999998,0.001599,0.001165,-0.000002,0.999996,0.002358,0.001345,-0.001064
0.999998,0.001647,0.001154,-0.000002,0.999996,0.002360,0.001329,-0.001063
0.999998,0.001687,0.001136,-0.000002,0.999996,0.002363,0.001313,-0.001062
0.999998,0.001723,0.001108,-0.000002,0.999996,0.002368,0.001295,-0.001060
0.999998,0.001761,0.001065,-0.000002,0.999996,0.002374,0.001276,-0.001057
0.999998,0.001806,0.001008,-0.000002,0.999996,0.002382,0.001253,-0.001054
0.999998,0.001857,0.000941,-0.000002,0.999996,0.002393,0.001228,-0.001049
0.999998,0.001909,0.000875,-0.000002,0.999996,0.002405,0.001200,-0.001044
0.999998,0.001953,0.000825,-0.000002,0.999996,0.002420,0.001171,-0.001038
0.999998,0.001982,0.000804,-0.000002,0.999996,0.002435,0.001143,-0.001032
0.999998,0.001993,0.000816,-0.000002,0.999996,0.002449,0.001118,-0.001026
0.999998,0.001990,0.000861,-0.000002,0.999996,0.002463,0.001098,-0.001020
0.999998,0.001982,0.000929,-0.000002,0.999996,0.002475,0.001084,-0.001014
0.999998,0.001976,0.001005,-0.000002,0.999996,0.002486,0.001077,-0.001010
0.999997,0.001976,0.001075,-0.000002,0.999996,0.002497,0.001075,-0.001007
0.999997,0.001980,0.001131,-0.000002,0.999996,0.002508,0.001078,-0.001005
0.999997,0.001990,0.001169,-0.000002,0.999996,0.002519,0.001083,-0.001005
0.999997,0.002006,0.001191,-0.000002,0.999996,0.002532,0.001089,-0.001005
0.999997,0.002022,0.001201,-0.000002,0.999996,0.002544,0.001096,-0.001007
0.999997,0.002028,0.001203,-0.000002,0.999996,0.002557,0.001101,-0.001010
0.999997,0.002017,0.001201,-0.000002,0.999996,0.002568,0.001106,-0.001014
0.999997,0.001983,0.001199,-0.000002,0.999996,0.002576,0.001110,-0.001017
0.999997,0.001930,0.001203,-0.000002,0.999996,0.002580,0.001113,-0.001022
0.999998,0.001866,0.001216,-0.000002,0.999996,0.002581,0.001116,-0.001025
0.999998,0.001805,0.001234,-0.000002,0.999996,0.002577,0.001118,-0.001029
0.999998,0.001757,0.001255,-0.000002,0.999996,0.002569,0.001121,-0.001032
0.999998,0.001728,0.001277,-0.000002,0.999996,0.002560,0.001125,-0.001035
0.999998,0.001721,0.001299,-0.000002,0.999996,0.002550,0.001128,-0.001037
0.999998,0.001730,0.001324,-0.000002,0.999996,0.002541,0.001132,-0.001039
0.999998,0.001748,0.001352,-0.000002,0.999996,0.002533,0.001137,-0.001040
0.999997,0.001770,0.001382,-0.000002,0.999996,0.002527,0.001143,-0.001040
0.999997,0.001794,0.001407,-0.000003,0.999996,0.002522,0.001149,-0.001040
0.999997,0.001818,0.001427,-0.000003,0.999996,0.002520,0.001156,-0.001038
0.999997,0.001839,0.001444,-0.000003,0.999996,0.002520,0.001163,-0.001036
0.999997,0.001854,0.001461,-0.000003,0.999996,0.002521,0.001170,-0.001033
0.999997,0.001861,0.001479,-0.000003,0.999996,0.002523,0.001178,-0.001028
0.999997,0.001850,0.001497,-0.000003,0.999996,0.002525,0.001186,-0.001023
0.999997,0.001811,0.001512,-0.000003,0.999996,0.002525,0.001195,-0.001017
0.999997,0.001743,0.001521,-0.000003,0.999996,0.002520,0.001204,-0.001010
0.999997,0.001662,0.001526,-0.000003,0.999996,0.002511,0.001212,-0.001002
0.999998,0.001591,0.001525,-0.000002,0.999996,0.002498,0.001221,-0.000994
0.999998,0.001538,0.001519,-0.000002,0.999996,0.002483,0.001228,-0.000986
0.999998,0.001496,0.001504,-0.000002,0.999996,0.002464,0.001235,-0.000978
0.999998,0.001451,0.001476,-0.000002,0.999996,0.002444,0.001240,-0.000971
0.999998,0.001399,0.001433,-0.000002,0.999996,0.002421,0.001243,-0.000964
0.999998,0.001352,0.001373,-0.000002,0.999996,0.002396,0.001242,-0.000959
0.999998,0.001325,0.001296,-0.000002,0.999996,0.002371,0.001238,-0.000954
0.999998,0.001326,0.001202,-0.000002,0.999996,0.002346,0.001229,-0.000951
0.999998,0.001352,0.001098,-0.000001,0.999996,0.002324,0.001216,-0.000950
0.999999,0.001392,0.000995,-0.000001,0.999996,0.002306,0.001198,-0.000950
0.999999,0.001433,0.000911,-0.000001,0.999996,0.002290,0.001177,-0.000951
0.999999,0.001474,0.000857,-0.000001,0.999996,0.002279,0.001154,-0.000955
0.999999,0.001520,0.000829,-0.000001,0.999996,0.002271,0.001132,-0.000959
0.999998,0.001576,0.000816,-0.000001,0.999996,0.002267,0.001111,-0.000963
0.999998,0.001643,0.000803,-0.000001,0.999996,0.002267,0.001091,-0.000968
0.999998,0.001719,0.000780,-0.000001,0.999996,0.002272,0.001072,-0.000972
0.999998,0.001798,0.000752,-0.000001,0.999996,0.002282,0.001052,-0.000975
0.999998,0.001875,0.000738,-0.000001,0.999996,0.002296,0.001033,-0.000977
0.999998,0.001955,0.000755,-0.000001,0.999996,0.002313,0.001016,-0.000978
0.999998,0.002039,0.000814,-0.000002,0.999996,0.002335,0.001004,-0.000977
0.999997,0.002124,0.000909,-0.000002,0.999996,0.002361,0.000998,-0.000976
0.999997,0.002199,0.001025,-0.000002,0.999996,0.002389,0.000999,-0.000975
0.999997,0.002251,0.001143,-0.000003,0.999996,0.002418,0.001007,-0.000973
0.999997,0.002270,0.001252,-0.000003,0.999996,0.002445,0.001021,-0.000972
0.999997,0.002251,0.001342,-0.000003,0.999996,0.002470,0.001040,-0.000972
0.999997,0.002194,0.001407,-0.000003,0.999996,0.002489,0.001062,-0.000971
0.999997,0.002106,0.001440,-0.000003,0.999996,0.002501,0.001085,-0.000972
0.999997,0.002003,0.001434,-0.000003,0.999996,0.002506,0.001106,-0.000973
0.999997,0.001897,0.001393,-0.000003,0.999996,0.002504,0.001125,-0.000975
0.999998,0.001793,0.001329,-0.000002,0.999996,0.002497,0.001140,-0.000978
0.999998,0.001691,0.001265,-0.000002,0.999996,0.002483,0.001150,-0.000984
0.999998,0.001590,0.001220,-0.000002,0.999996,0.002465,0.001159,-0.000991
0.999998,0.001490,0.001206,-0.000002,0.999996,0.002443,0.001166,-0.001001
0.999998,0.001399,0.001229,-0.000002,0.999996,0.002416,0.001175,-0.001015
0.999998,0.001329,0.001289,-0.000002,0.999996,0.002386,0.001186,-0.001033
0.999998,0.001298,0.001386,-0.000002,0.999996,0.002356,0.001201,-0.001056
0.999998,0.001321,0.001513,-0.000002,0.999996,0.002329,0.001223,-0.001084
0.999998,0.001403,0.001661,-0.000002,0.999996,0.002308,0.001250,-0.001116
0.999997,0.001541,0.001810,-0.000003,0.999996,0.002295,0.001284,-0.001151
0.999997,0.001727,0.001943,-0.000003,0.999996,0.002292,0.001321,-0.001187
0.999996,0.001948,0.002063,-0.000004,0.999996,0.002300,0.001360,-0.001220
0.999995,0.002188,0.002182,-0.000005,0.999996,0.002320,0.001401,-0.001244
0.999994,0.002426,0.002297,-0.000006,0.999995,0.002351,0.001442,-0.001251
0.999994,0.002649,0.002371,-0.000006,0.999995,0.002392,0.001479,-0.001232
0.999993,0.002860,0.002346,-0.000007,0.999995,0.002444,0.001506,-0.001174
0.999993,0.003077,0.002162,-0.000007,0.999995,0.002508,0.001515,-0.001064
0.999993,0.003311,0.001780,-0.000006,0.999995,0.002586,0.001493,-0.000884
0.999993,0.003541,0.001170,-0.000004,0.999995,0.002682,0.001429,-0.000619
0.999993,0.003718,0.000298,-0.000001,0.999995,0.002792,0.001311,-0.000254
0.999993,0.003770,-0.000876,0.000003,0.999995,0.002912,0.001126,0.000222
0.999991,0.003616,-0.002383,0.000009,0.999995,0.003032,0.000860,0.000812
0.999986,0.003186,-0.004234,0.000013,0.999994,0.003137,0.000500,0.001509
0.999976,0.002471,-0.006408,0.000016,0.999992,0.003210,0.000039,0.002293
0.999960,0.001562,-0.008835,0.000014,0.999990,0.003238,-0.000526,0.003137
0.999935,0.000618,-0.011395,0.000007,0.999986,0.003215,-0.001190,0.004017
0.999903,-0.000179,-0.013906,-0.000002,0.999981,0.003137,-0.001935,0.004910
0.999870,-0.000636,-0.016124,-0.000010,0.999975,0.003006,-0.002730,0.005802
0.999842,-0.000581,-0.017755,-0.000010,0.999967,0.002827,-0.003525,0.006678
0.999830,0.000077,-0.018457,0.000001,0.999959,0.002601,-0.004254,0.007527
0.999840,0.001281,-0.017865,0.000023,0.999951,0.002320,-0.004827,0.008336
0.999873,0.002794,-0.015693,0.000044,0.999944,0.001959,-0.005140,0.009089
0.999921,0.004236,-0.011852,0.000050,0.999938,0.001473,-0.005078,0.009767
0.999965,0.005222,-0.006524,0.000034,0.999936,0.000805,-0.004527,0.010352
0.999985,0.005477,-0.000197,0.000001,0.999936,-0.000101,-0.003381,0.010833
0.999967,0.004860,0.006473,-0.000031,0.999935,-0.001288,-0.001553,0.011208
0.999911,0.003330,0.012916,-0.000043,0.999930,-0.002781,0.001031,0.011484
0.999822,0.000930,0.018847,-0.000018,0.999911,-0.004581,0.004441,0.011676
0.999702,-0.002228,0.024329,0.000054,0.999870,-0.006671,0.008759,0.011800
0.999541,-0.005977,0.029708,0.000178,0.999790,-0.009016,0.014086,0.011877
0.999318,-0.010163,0.035500,0.000361,0.999651,-0.011566,0.020537,0.011932
0.998999,-0.014691,0.042257,0.000621,0.999428,-0.014262,0.028229,0.011989
0.998537,-0.019467,0.050434,0.000983,0.999087,-0.017031,0.037275,0.012076
0.997883,-0.024338,0.060284,0.001470,0.998588,-0.019777,0.047767,0.012210
0.996990,-0.029118,0.071830,0.002098,0.997884,-0.022385,0.059764,0.012403
0.995813,-0.033624,0.084954,0.002869,0.996925,-0.024722,0.073281,0.012650
0.994311,-0.037670,0.099557,0.003772,0.995654,-0.026658,0.088293,0.012938
0.992427,-0.041059,0.115668,0.004785,0.994016,-0.028079,0.104731,0.013245
0.990083,-0.043561,0.133432,0.005871,0.991958,-0.028902,0.122481,0.013535
0.987177,-0.044917,0.153021,0.006962,0.989430,-0.029087,0.141392,0.013770
0.983598,-0.044883,0.174520,0.007964,0.986395,-0.028643,0.161280,0.013903
0.979243,-0.043307,0.197817,0.008749,0.982823,-0.027632,0.181940,0.013892
0.974039,-0.040206,0.222590,0.009188,0.978700,-0.026169,0.203159,0.013709
0.967935,-0.035791,0.248468,0.009187,0.974024,-0.024406,0.224730,0.013347
0.960870,-0.030441,0.275185,0.008718,0.968802,-0.022514,0.246478,0.012830
0.952774,-0.024620,0.302580,0.007819,0.963044,-0.020660,0.268271,0.012209
0.943598,-0.018807,0.330493,0.006587,0.956759,-0.018985,0.290032,0.011551
0.933325,-0.013459,0.358742,0.005173,0.949943,-0.017584,0.311735,0.010929
0.921962,-0.008948,0.387159,0.003758,0.942584,-0.016506,0.333399,0.010407
0.909541,-0.005501,0.415570,0.002513,0.934659,-0.015748,0.355055,0.010032
0.896147,-0.003196,0.443744,0.001582,0.926149,-0.015262,0.376720,0.009836
0.881923,-0.002009,0.471387,0.001074,0.917050,-0.014976,0.398370,0.009832
0.867071,-0.001872,0.498181,0.001076,0.907381,-0.014814,0.419928,0.010019
0.851813,-0.002715,0.523837,0.001670,0.897191,-0.014713,0.441276,0.010386
0.836358,-0.004409,0.548158,0.002890,0.886552,-0.014627,0.462269,0.010910
0.820886,-0.006663,0.571034,0.004635,0.875557,-0.014519,0.482758,0.011559
0.805552,-0.009071,0.592418,0.006671,0.864306,-0.014350,0.502611,0.012284
0.790497,-0.011358,0.612297,0.008797,0.852901,-0.014082,0.521720,0.013031
0.775856,-0.013595,0.630667,0.011051,0.841436,-0.013693,0.540008,0.013755
0.761762,-0.016266,0.647505,0.013826,0.830001,-0.013197,0.557418,0.014447
0.748333,-0.020338,0.662767,0.018013,0.818678,-0.012664,0.573913,0.015157
0.735623,-0.027537,0.676358,0.025319,0.807540,-0.012263,0.589467,0.016041
0.723455,-0.041662,0.687974,0.039619,0.796645,-0.012375,0.604068,0.017478
0.709592,-0.081782,0.695248,0.080129,0.786014,-0.014485,0.617684,0.020950
0.127600,-0.698002,0.126713,0.693149,0.776697,-0.054528,0.624390,0.062485
-0.011971,-0.717410,-0.011621,0.696451,0.765717,-0.096018,0.627430,0.103874
-0.041411,-0.723506,-0.039376,0.687949,0.752513,-0.137530,0.627812,0.143746
-0.061698,-0.728652,-0.057551,0.679668,0.737125,-0.178814,0.625753,0.181949
-0.078403,-0.733316,-0.071796,0.671525,0.719657,-0.219695,0.621407,0.218362
-0.092150,-0.737843,-0.082865,0.663498,0.700242,-0.260022,0.614906,0.252866
-0.103092,-0.742400,-0.091051,0.655686,0.679034,-0.299652,0.606383,0.285344
-0.111527,-0.746997,-0.096780,0.648222,0.656196,-0.338447,0.595986,0.315691
-0.117595,-0.751643,-0.100317,0.641202,0.631895,-0.376278,0.583887,0.343801
-0.121090,-0.756473,-0.101588,0.634638,0.606317,-0.413017,0.570278,0.369567
-0.121728,-0.761706,-0.100427,0.628412,0.579680,-0.448540,0.555361,0.392882
-0.119496,-0.767533,-0.096881,0.622277,0.552247,-0.482725,0.539342,0.413655
-0.114713,-0.774047,-0.091279,0.615922,0.524308,-0.515458,0.522422,0.431833
-0.107935,-0.781232,-0.084146,0.609053,0.496167,-0.546642,0.504792,0.447420
-0.099857,-0.788957,-0.076128,0.601481,0.468116,-0.576206,0.486631,0.460482
-0.091181,-0.797007,-0.067862,0.593178,0.440411,-0.604105,0.468101,0.471144
-0.082445,-0.805155,-0.059825,0.584251,0.413264,-0.630319,0.449350,0.479579
-0.073959,-0.813253,-0.052276,0.574820,0.386845,-0.654851,0.430516,0.485981
-0.065863,-0.821278,-0.045302,0.564899,0.361289,-0.677730,0.411735,0.490537
-0.058235,-0.829321,-0.038928,0.554364,0.336705,-0.699004,0.393141,0.493419
-0.051182,-0.837506,-0.033185,0.543012,0.313180,-0.718747,0.374864,0.494771
-0.044892,-0.845896,-0.028165,0.530708,0.290779,-0.737045,0.357024,0.494718
-0.039586,-0.854419,-0.023977,0.517519,0.269545,-0.753994,0.339730,0.493378
-0.035351,-0.862895,-0.020636,0.503723,0.249506,-0.769690,0.323071,0.490867
-0.032065,-0.871136,-0.018024,0.489662,0.230683,-0.784217,0.307125,0.487302
