m_qw,m_qx,m_qy,m_qz,f_qw,f_qx,f_qy,f_qz
-0.029522,-0.879013,-0.015974,0.475614,0.213099,-0.797655,0.291953,0.482803
-0.027551,-0.886458,-0.014352,0.461764,0.196771,-0.810079,0.277597,0.477486
-0.025987,-0.893438,-0.013038,0.448245,0.181712,-0.821555,0.264079,0.471477
-0.024664,-0.899913,-0.011928,0.435207,0.167923,-0.832144,0.251398,0.464905
-0.023522,-0.905815,-0.010981,0.422877,0.155390,-0.841895,0.239537,0.457919
-0.022687,-0.911043,-0.010249,0.411559,0.144063,-0.850848,0.228457,0.450678
-0.022452,-0.915476,-0.009850,0.401624,0.133849,-0.859045,0.218099,0.443350
-0.023140,-0.918993,-0.009907,0.393470,0.124602,-0.866526,0.208381,0.436100
-0.024910,-0.921517,-0.010472,0.387396,0.116135,-0.873343,0.199207,0.429069
-0.027660,-0.923089,-0.011489,0.383418,0.108243,-0.879558,0.190466,0.422355
-0.031140,-0.923873,-0.012849,0.381213,0.100718,-0.885246,0.182048,0.415997
-0.035074,-0.924118,-0.014431,0.380220,0.093375,-0.890494,0.173839,0.409977
-0.039151,-0.924123,-0.016088,0.379744,0.086065,-0.895391,0.165735,0.404228
-0.042975,-0.924258,-0.017619,0.378934,0.078698,-0.900018,0.157649,0.398649
-0.046099,-0.924968,-0.018778,0.376771,0.071250,-0.904454,0.149521,0.393104
-0.048168,-0.926656,-0.019353,0.372309,0.063765,-0.908766,0.141341,0.387430
-0.048992,-0.929503,-0.019241,0.365039,0.056335,-0.913010,0.133145,0.381460
-0.048534,-0.933413,-0.018460,0.355026,0.049092,-0.917223,0.125015,0.375051
-0.046922,-0.938079,-0.017147,0.342800,0.042183,-0.921415,0.117062,0.368118
-0.044489,-0.943089,-0.015529,0.329185,0.035749,-0.925575,0.109408,0.360643
-0.041713,-0.948035,-0.013865,0.315115,0.029898,-0.929670,0.102165,0.352679
-0.039083,-0.952603,-0.012367,0.301441,0.024689,-0.933661,0.095428,0.344328
-0.036947,-0.956612,-0.011154,0.288797,0.020134,-0.937507,0.089260,0.335721
-0.035458,-0.959992,-0.010253,0.277585,0.016201,-0.941175,0.083698,0.326989
-0.034596,-0.962740,-0.009632,0.268032,0.012830,-0.944643,0.078744,0.318251
-0.034221,-0.964902,-0.009229,0.260207,0.009944,-0.947900,0.074372,0.309606
-0.034140,-0.966553,-0.008973,0.254025,0.007461,-0.950940,0.070528,0.301138
-0.034193,-0.967788,-0.008807,0.249279,0.005295,-0.953766,0.067136,0.292909
-0.034285,-0.968712,-0.008694,0.245653,0.003359,-0.956386,0.064108,0.284963
-0.034367,-0.969448,-0.008605,0.242727,0.001568,-0.958814,0.061352,0.277325
-0.034417,-0.970123,-0.008515,0.240007,-0.000155,-0.961066,0.058784,0.269994
-0.034435,-0.970861,-0.008406,0.237009,-0.001880,-0.963163,0.056335,0.262945
-0.034438,-0.971747,-0.008270,0.233354,-0.003661,-0.965128,0.053957,0.256133
-0.034453,-0.972817,-0.008105,0.228853,-0.005540,-0.966981,0.051623,0.249504
-0.034523,-0.974053,-0.007923,0.223533,-0.007542,-0.968740,0.049325,0.243008
-0.034714,-0.975401,-0.007742,0.217550,-0.009676,-0.970418,0.047064,0.236601
-0.035096,-0.976807,-0.007584,0.211090,-0.011935,-0.972023,0.044844,0.230256
-0.035723,-0.978227,-0.007461,0.204304,-0.014301,-0.973561,0.042670,0.223952
-0.036626,-0.979632,-0.007376,0.197296,-0.016747,-0.975035,0.040539,0.217677
-0.037802,-0.981007,-0.007326,0.190113,-0.019243,-0.976449,0.038449,0.211420
-0.039201,-0.982348,-0.007293,0.182763,-0.021747,-0.977808,0.036394,0.205168
-0.040712,-0.983654,-0.007254,0.175258,-0.024208,-0.979118,0.034365,0.198899
-0.042163,-0.984929,-0.007174,0.167590,-0.026554,-0.980386,0.032353,0.192594
-0.043359,-0.986181,-0.007023,0.159741,-0.028690,-0.981619,0.030348,0.186226
-0.044151,-0.987411,-0.006785,0.151739,-0.030503,-0.982827,0.028338,0.179773
-0.044527,-0.988596,-0.006473,0.143714,-0.031879,-0.984016,0.026317,0.173217
-0.044622,-0.989700,-0.006127,0.135890,-0.032730,-0.985190,0.024274,0.166554
-0.044605,-0.990697,-0.005783,0.128435,-0.033011,-0.986350,0.022205,0.159786
-0.044506,-0.991621,-0.005437,0.121149,-0.032734,-0.987494,0.020114,0.152905
-0.044213,-0.992543,-0.005055,0.113482,-0.031959,-0.988623,0.018022,0.145872
-0.043603,-0.993510,-0.004606,0.104959,-0.030797,-0.989737,0.015967,0.138623
-0.042590,-0.994520,-0.004085,0.095388,-0.029397,-0.990837,0.014004,0.131081
-0.041208,-0.995537,-0.003511,0.084824,-0.027934,-0.991917,0.012192,0.123172
-0.039682,-0.996490,-0.002933,0.073651,-0.026593,-0.992971,0.010589,0.114845
-0.038327,-0.997298,-0.002407,0.062619,-0.025543,-0.993985,0.009239,0.106097
-0.037354,-0.997916,-0.001968,0.052569,-0.024905,-0.994941,0.008161,0.096979
-0.036749,-0.998356,-0.001618,0.043953,-0.024739,-0.995824,0.007349,0.087574
-0.036281,-0.998671,-0.001329,0.036584,-0.025046,-0.996619,0.006777,0.077955
-0.035583,-0.998922,-0.001062,0.029801,-0.025766,-0.997321,0.006409,0.068155
-0.034280,-0.999150,-0.000785,0.022889,-0.026779,-0.997928,0.006207,0.058170
-0.032165,-0.999364,-0.000496,0.015411,-0.027923,-0.998439,0.006132,0.047981
-0.029281,-0.999545,-0.000212,0.007222,-0.029012,-0.998853,0.006140,0.037581
-0.025825,-0.999665,0.000046,-0.001775,-0.029868,-0.999170,0.006177,0.026985
-0.022032,-0.999688,0.000260,-0.011781,-0.030344,-0.999389,0.006182,0.016211
-0.018133,-0.999570,0.000418,-0.023031,-0.030340,-0.999507,0.006094,0.005261
-0.014361,-0.999262,0.000512,-0.035627,-0.029810,-0.999521,0.005854,-0.005886
-0.010955,-0.998717,0.000542,-0.049437,-0.028759,-0.999423,0.005411,-0.017270
-0.008174,-0.997905,0.000526,-0.064174,-0.027225,-0.999199,0.004724,-0.028936
-0.006286,-0.996801,0.000502,-0.079674,-0.025277,-0.998835,0.003761,-0.040935
-0.005479,-0.995367,0.000528,-0.095991,-0.022996,-0.998308,0.002496,-0.053341
-0.005763,-0.993571,0.000656,-0.113065,-0.020481,-0.997592,0.000907,-0.066251
-0.006913,-0.991430,0.000910,-0.130454,-0.017835,-0.996654,-0.001016,-0.079765
-0.008488,-0.989021,0.001266,-0.147522,-0.015151,-0.995455,-0.003271,-0.093967
-0.009962,-0.986447,0.001654,-0.163771,-0.012500,-0.993956,-0.005840,-0.108912
-0.010900,-0.983787,0.001983,-0.178997,-0.009929,-0.992116,-0.008686,-0.124626
-0.011157,-0.981080,0.002198,-0.193270,-0.007469,-0.989898,-0.011744,-0.141097
-0.010948,-0.978321,0.002314,-0.206791,-0.005150,-0.987269,-0.014929,-0.158276
-0.010730,-0.975478,0.002418,-0.219822,-0.003006,-0.984204,-0.018139,-0.176081
-0.010997,-0.972483,0.002631,-0.232701,-0.001086,-0.980689,-0.021268,-0.194409
-0.012047,-0.969241,0.003055,-0.245798,0.000554,-0.976720,-0.024215,-0.213148
-0.013799,-0.965665,0.003707,-0.259398,0.001868,-0.972298,-0.026894,-0.232183
-0.015825,-0.961665,0.004505,-0.273734,0.002842,-0.967438,-0.029235,-0.251398
-0.017638,-0.957104,0.005329,-0.289157,0.003515,-0.962156,-0.031178,-0.270686
-0.019048,-0.951768,0.006127,-0.306167,0.003965,-0.956470,-0.032663,-0.289970
-0.020329,-0.945419,0.006992,-0.325148,0.004277,-0.950388,-0.033628,-0.309213
-0.022079,-0.937930,0.008145,-0.346025,0.004508,-0.943914,-0.034019,-0.328404
-0.024794,-0.929366,0.009823,-0.368194,0.004660,-0.937049,-0.033800,-0.347528
-0.028439,-0.919918,0.012084,-0.390891,0.004702,-0.929799,-0.032972,-0.366558
-0.032437,-0.909750,0.014748,-0.413626,0.004603,-0.922171,-0.031572,-0.385464
-0.036041,-0.898941,0.017490,-0.436234,0.004359,-0.914166,-0.029667,-0.404229
-0.038640,-0.887552,0.019967,-0.458650,0.004001,-0.905780,-0.027338,-0.422847
-0.039918,-0.875698,0.021913,-0.480708,0.003581,-0.897007,-0.024669,-0.441313
-0.039910,-0.863580,0.023204,-0.502095,0.003153,-0.887848,-0.021742,-0.459611
-0.038756,-0.851417,0.023785,-0.522514,0.002760,-0.878315,-0.018637,-0.477711
-0.036255,-0.839287,0.023412,-0.541973,0.002449,-0.868421,-0.015443,-0.495580
-0.031654,-0.827007,0.021468,-0.560888,0.002313,-0.858177,-0.012284,-0.513201
-0.023742,-0.814220,0.016908,-0.579825,0.002528,-0.847576,-0.009338,-0.530586
-0.010997,-0.800596,0.008229,-0.599047,0.003381,-0.836593,-0.006863,-0.547772
0.008439,-0.785952,-0.006638,-0.618194,0.005281,-0.825204,-0.005220,-0.564786
0.037345,-0.770038,-0.030852,-0.636156,0.008792,-0.813403,-0.004933,-0.581613
0.081834,-0.751630,-0.070839,-0.650644,0.014799,-0.801211,-0.006866,-0.598159
0.158852,-0.724940,-0.143463,-0.654711,0.025121,-0.788666,-0.012825,-0.614175
0.310545,-0.662099,-0.289626,-0.617498,0.044056,-0.775766,-0.026974,-0.628903
0.528936,-0.502537,-0.495786,-0.471041,0.075845,-0.762303,-0.052869,-0.640582
0.651508,-0.347772,-0.594798,-0.317500,0.115031,-0.747770,-0.084102,-0.648486
0.701785,-0.267723,-0.616809,-0.235306,0.156894,-0.731851,-0.115775,-0.652973
0.729717,-0.224617,-0.617223,-0.189990,0.199707,-0.714500,-0.146383,-0.654353
0.749064,-0.195912,-0.612273,-0.160135,0.242694,-0.695746,-0.175455,-0.652880
0.763804,-0.172541,-0.606673,-0.137045,0.285407,-0.675634,-0.202819,-0.648789
0.775546,-0.151424,-0.601503,-0.117442,0.327536,-0.654237,-0.228377,-0.642292
0.785288,-0.131989,-0.596531,-0.100263,0.368830,-0.631679,-0.252023,-0.633586
0.793838,-0.114430,-0.591156,-0.085214,0.409066,-0.608135,-0.273641,-0.622862
0.801888,-0.099078,-0.584756,-0.072250,0.448044,-0.583812,-0.293116,-0.610330
0.810007,-0.086354,-0.576758,-0.061488,0.485584,-0.558941,-0.310339,-0.596224
0.818629,-0.076711,-0.566694,-0.053103,0.521528,-0.533766,-0.325204,-0.580814
0.828007,-0.070310,-0.554297,-0.047068,0.555754,-0.508524,-0.337626,-0.564402
0.838210,-0.066739,-0.539541,-0.042959,0.588194,-0.483432,-0.347547,-0.547296
0.849165,-0.065112,-0.522565,-0.040069,0.618838,-0.458662,-0.354951,-0.529790
0.860695,-0.064439,-0.503617,-0.037705,0.647733,-0.434339,-0.359865,-0.512141
0.872519,-0.063941,-0.483082,-0.035402,0.674950,-0.410548,-0.362355,-0.494562
0.884300,-0.063214,-0.461443,-0.032986,0.700567,-0.387346,-0.362520,-0.477231
0.895751,-0.062232,-0.439119,-0.030508,0.724650,-0.364778,-0.360485,-0.460294
0.906730,-0.061203,-0.416299,-0.028099,0.747252,-0.342894,-0.356389,-0.443876
0.917230,-0.060349,-0.392911,-0.025851,0.768417,-0.321753,-0.350384,-0.428067
0.927311,-0.059742,-0.368728,-0.023755,0.788187,-0.301415,-0.342638,-0.412928
0.937004,-0.059305,-0.343559,-0.021745,0.806603,-0.281924,-0.333343,-0.398488
0.946217,-0.058956,-0.317499,-0.019782,0.823703,-0.263306,-0.322726,-0.384749
0.954721,-0.058679,-0.291108,-0.017892,0.839514,-0.245578,-0.311052,-0.371691
0.962233,-0.058443,-0.265391,-0.016119,0.854058,-0.228751,-0.298634,-0.359270
0.968530,-0.058125,-0.241579,-0.014498,0.867356,-0.212835,-0.285820,-0.347421
0.973544,-0.057500,-0.220762,-0.013039,0.879442,-0.197829,-0.272957,-0.336065
0.977394,-0.056267,-0.203463,-0.011713,0.890379,-0.183716,-0.260342,-0.325109
0.980344,-0.054114,-0.189441,-0.010457,0.900260,-0.170461,-0.248187,-0.314449
0.982689,-0.050873,-0.177902,-0.009210,0.909202,-0.158028,-0.236601,-0.303973
0.984652,-0.046672,-0.167986,-0.007962,0.917327,-0.146391,-0.225607,-0.293568
0.986345,-0.041913,-0.159127,-0.006762,0.924750,-0.135548,-0.215185,-0.283124
0.987806,-0.037079,-0.151106,-0.005672,0.931566,-0.125511,-0.205301,-0.272549
0.989056,-0.032542,-0.143831,-0.004732,0.937849,-0.116295,-0.195927,-0.261776
0.990136,-0.028470,-0.137128,-0.003943,0.943654,-0.107898,-0.187047,-0.250776
0.991101,-0.024827,-0.130735,-0.003275,0.949020,-0.100291,-0.178652,-0.239554
0.991994,-0.021481,-0.124418,-0.002694,0.953974,-0.093418,-0.170737,-0.228156
0.992830,-0.018358,-0.118096,-0.002184,0.958536,-0.087213,-0.163299,-0.216649
0.993603,-0.015508,-0.111844,-0.001746,0.962720,-0.081612,-0.156327,-0.205112
0.994299,-0.013046,-0.105816,-0.001388,0.966543,-0.076563,-0.149807,-0.193624
0.994903,-0.011078,-0.100218,-0.001116,0.970019,-0.072029,-0.143728,-0.182254
0.995400,-0.009628,-0.095316,-0.000922,0.973162,-0.067980,-0.138094,-0.171069
0.995779,-0.008622,-0.091378,-0.000791,0.975983,-0.064384,-0.132922,-0.160138
0.996039,-0.007982,-0.088551,-0.000710,0.978494,-0.061204,-0.128230,-0.149532
0.996196,-0.007703,-0.086792,-0.000671,0.980713,-0.058395,-0.124015,-0.139329
0.996278,-0.007811,-0.085847,-0.000673,0.982660,-0.055911,-0.120238,-0.129600
0.996317,-0.008305,-0.085339,-0.000711,0.984363,-0.053707,-0.116826,-0.120404
0.996346,-0.009151,-0.084910,-0.000780,0.985851,-0.051745,-0.113696,-0.111778
0.996384,-0.010258,-0.084341,-0.000868,0.987152,-0.050000,-0.110775,-0.103734
0.996434,-0.011465,-0.083590,-0.000962,0.988291,-0.048452,-0.108011,-0.096269
0.996492,-0.012613,-0.082723,-0.001047,0.989289,-0.047095,-0.105370,-0.089362
0.996558,-0.013622,-0.081770,-0.001118,0.990167,-0.045930,-0.102829,-0.082985
0.996635,-0.014510,-0.080659,-0.001174,0.990938,-0.044969,-0.100368,-0.077104
0.996732,-0.015375,-0.079296,-0.001223,0.991617,-0.044229,-0.097986,-0.071683
0.996841,-0.016382,-0.077707,-0.001277,0.992210,-0.043731,-0.095702,-0.066691
0.996942,-0.017719,-0.076101,-0.001353,0.992722,-0.043490,-0.093567,-0.062102
0.997010,-0.019558,-0.074748,-0.001466,0.993155,-0.043513,-0.091641,-0.057887
0.997033,-0.022008,-0.073747,-0.001628,0.993514,-0.043790,-0.089965,-0.054016
0.997019,-0.025068,-0.072942,-0.001834,0.993808,-0.044283,-0.088531,-0.050460
0.996988,-0.028587,-0.072059,-0.002066,0.994051,-0.044928,-0.087273,-0.047192
0.996958,-0.032281,-0.070902,-0.002296,0.994259,-0.045648,-0.086097,-0.044189
0.996936,-0.035905,-0.069445,-0.002501,0.994446,-0.046372,-0.084908,-0.041431
0.996918,-0.039453,-0.067757,-0.002682,0.994624,-0.047062,-0.083636,-0.038893
0.996896,-0.043159,-0.065782,-0.002848,0.994800,-0.047718,-0.082226,-0.036545
0.996871,-0.047261,-0.063291,-0.003001,0.994978,-0.048363,-0.080622,-0.034359
0.996841,-0.051827,-0.060107,-0.003125,0.995162,-0.049028,-0.078767,-0.032310
0.996796,-0.056696,-0.056337,-0.003204,0.995355,-0.049735,-0.076627,-0.030379
