m_roll,m_pitch,m_yaw,f_roll,f_pitch,f_yaw
0.004,0.004,1.571,0.004,0.002,1.573
0.004,0.004,1.571,0.004,0.002,1.573
0.004,0.004,1.571,0.004,0.002,1.573
0.004,0.004,1.571,0.004,0.002,1.573
0.005,0.004,1.571,0.005,0.003,1.573
0.005,0.004,1.571,0.005,0.003,1.573
0.005,0.004,1.571,0.005,0.003,1.573
0.005,0.004,1.571,0.005,0.003,1.573
0.005,0.004,1.571,0.005,0.003,1.573
0.005,0.004,1.571,0.005,0.003,1.573
0.005,0.004,1.571,0.005,0.003,1.573
0.004,0.004,1.571,0.005,0.003,1.573
0.004,0.004,1.571,0.005,0.003,1.573
0.004,0.003,1.571,0.005,0.003,1.573
0.004,0.003,1.571,0.005,0.003,1.573
0.004,0.003,1.571,0.005,0.003,1.573
0.004,0.003,1.571,0.005,0.003,1.573
0.004,0.003,1.571,0.005,0.003,1.573
0.003,0.003,1.571,0.005,0.003,1.573
0.003,0.003,1.571,0.005,0.003,1.573
0.003,0.003,1.571,0.005,0.003,1.573
0.003,0.003,1.571,0.005,0.003,1.573
0.003,0.003,1.571,0.005,0.003,1.573
0.003,0.003,1.571,0.005,0.003,1.573
0.003,0.002,1.571,0.005,0.003,1.573
0.003,0.002,1.571,0.005,0.003,1.573
0.003,0.002,1.571,0.005,0.003,1.573
0.003,0.002,1.571,0.005,0.003,1.573
0.003,0.002,1.571,0.005,0.003,1.573
0.003,0.002,1.571,0.005,0.003,1.573
0.003,0.002,1.571,0.005,0.003,1.573
0.003,0.002,1.571,0.005,0.003,1.573
0.003,0.002,1.571,0.005,0.003,1.573
0.003,0.002,1.571,0.005,0.003,1.573
0.004,0.002,1.571,0.005,0.003,1.573
0.004,0.002,1.571,0.005,0.003,1.573
0.004,0.002,1.571,0.005,0.002,1.573
0.004,0.002,1.571,0.005,0.002,1.573
0.004,0.002,1.571,0.005,0.002,1.573
0.004,0.002,1.571,0.005,0.002,1.573
0.004,0.002,1.571,0.005,0.002,1.573
0.004,0.002,1.571,0.005,0.002,1.573
0.004,0.002,1.571,0.005,0.002,1.573
0.004,0.002,1.571,0.005,0.002,1.573
0.004,0.002,1.571,0.005,0.002,1.573
0.004,0.002,1.571,0.005,0.002,1.573
0.004,0.002,1.571,0.005,0.002,1.573
0.004,0.002,1.571,0.005,0.002,1.573
0.004,0.002,1.571,0.005,0.002,1.573
0.004,0.002,1.571,0.005,0.002,1.573
0.004,0.002,1.571,0.005,0.002,1.573
0.004,0.002,1.571,0.005,0.002,1.573
0.004,0.002,1.571,0.005,0.002,1.573
0.004,0.002,1.571,0.005,0.002,1.573
0.004,0.002,1.571,0.005,0.002,1.573
0.004,0.003,1.571,0.005,0.002,1.573
0.003,0.003,1.571,0.005,0.002,1.573
0.003,0.003,1.571,0.005,0.002,1.573
0.003,0.003,1.571,0.005,0.002,1.573
0.003,0.003,1.571,0.005,0.002,1.573
