ax, ay, az, gx, gy, gz, temp
0.48123, 8.99502, 3.84269, -0.93302, 0.09446, 0.21677, 28.07761
0.06225, 9.09557, 3.92410, -0.81191, 0.22862, 0.12617, 27.69422
0.16759, 8.67419, 3.74693, -0.75662, 0.19532, 0.11898, 27.55045
0.31603, 8.83460, 3.79481, -0.55677, 0.09286, 0.17973, 27.79007
0.34716, 9.01417, 4.39097, -0.34081, 0.06555, 0.22556, 27.64630
0.11732, 9.07881, 4.50110, -0.16108, 0.13003, 0.21184, 27.64630
0.09577, 9.10994, 4.31675, -0.09926, 0.14682, 0.19878, 27.64630
0.25857, 9.25838, 4.35745, 0.08220, 0.08847, 0.14536, 27.98176
0.61770, 9.15303, 4.41730, 0.31562, -0.02798, 0.07514, 27.79007
-0.16041, 9.32302, 4.76446, 0.44659, -0.04690, 0.00080, 27.69422
0.05028, 9.11951, 5.03022, 0.75289, -0.01279, 0.04010, 27.79007
0.07422, 8.70532, 5.15950, 1.18989, 0.08327, 0.24475, 27.55045
0.26576, 9.00699, 4.79559, 1.41305, 0.28178, 0.37331, 27.55045
0.70868, 9.11712, 4.56335, 1.60517, 0.45925, 0.30164, 27.83799
1.08697, 8.87770, 3.50990, 1.70949, 0.46951, 0.12351, 27.45461
1.18034, 8.73165, 3.37104, 1.75146, 0.36585, 0.00400, 27.69422
0.91937, 8.36534, 3.47399, 2.11211, 0.18999, -0.01452, 27.79007
0.36631, 7.94157, 3.80199, 2.59534, 0.05183, 0.15468, 27.55045
-0.37110, 7.61356, 3.52905, 3.10562, 0.01545, 0.44872, 27.88591
-0.38786, 7.40527, 1.92733, 3.49439, 0.18879, 0.55384, 27.79007
0.47645, 7.47470, 0.89783, 3.49998, 0.50202, 0.57023, 27.64630
0.30167, 7.04614, -0.86431, 3.33385, 0.72997, 0.45059, 27.55045
3.09570, 7.63750, -2.85868, 3.23805, 0.74849, 0.39370, 27.98176
1.15401, 5.82988, -3.32076, 3.29801, 0.63152, 0.47817, 27.83799
1.40061, 5.86579, -3.64398, 3.18862, 0.35799, 0.58555, 27.64630
0.71347, 5.76763, -4.44124, 3.08790, 0.20677, 0.66482, 27.98176
1.59214, 5.55694, -4.50828, 3.07591, 0.14442, 0.63498, 27.79007
1.28569, 5.33428, -4.87938, 2.95200, 0.10086, 0.57130, 27.69422
0.70150, 5.34625, -5.65032, 2.73617, 0.35946, 0.35679, 27.79007
0.43574, 5.03979, -6.32069, 2.46798, 0.64311, 0.20944, 27.69422
0.76614, 4.54898, -7.27598, 2.32422, 0.73624, 0.15628, 27.69422
1.67355, 4.20901, -7.89847, 2.13916, 0.54398, 0.29457, 27.88591
2.45166, 4.23534, -8.08282, 2.24681, 0.27339, 0.43047, 27.69422
2.17394, 4.31675, -8.38450, 2.04510, 0.16574, 0.42088, 27.79007
2.06141, 4.52504, -8.76517, 1.89388, 0.05875, 0.28791, 27.88591
1.90100, 4.46279, -8.82742, 1.82154, -0.09806, 0.14242, 27.55045
1.49638, 4.14676, -8.78193, 1.81914, -0.20451, 0.07061, 27.64630
1.80283, 3.94804, -9.15064, 1.81194, -0.31096, 0.02625, 27.88591
1.73819, 3.74214, -9.35415, 1.70296, -0.45685, 0.06901, 27.79007
1.69270, 3.73735, -8.92319, 1.71935, -0.56916, 0.09166, 27.69422
1.05584, 3.69904, -8.36295, 1.72175, -0.56157, 0.03011, 27.64630
0.27294, 3.50032, -8.39886, 1.61530, -0.35506, -0.02411, 27.79007
0.91698, 2.98796, -8.91840, 1.61956, -0.21757, -0.01092, 27.98176
1.53229, 2.75573, -9.20331, 1.64954, -0.27206, 0.02012, 27.79007
1.01993, 3.20344, -9.45470, 1.66206, -0.40995, -0.06742, 27.55045
0.63207, 2.53785, -9.36851, 1.63701, -0.41208, -0.14642, 27.45461
0.59376, 1.96564, -9.94073, 1.51151, -0.34360, -0.17413, 27.55045
0.45729, 1.81480, -10.61110, 1.43343, -0.30164, -0.09206, 27.79007
1.05824, 1.64721, -10.99178, 1.12874, -0.66895, -0.19891, 27.79007
0.16999, 1.13485, -10.69250, 1.04706, -0.63898, -0.26247, 27.69422
-0.22984, 0.69671, -10.69490, 0.98578, -0.60634, -0.21384, 27.83799
-0.31364, 0.52433, -10.87925, 0.94528, -0.56570, -0.07528, 27.88591
-0.14365, 0.55785, -11.07079, 0.90691, -0.53985, 0.03504, 27.83799
0.36152, 0.84276, -10.85292, 0.85468, -0.64231, -0.00826, 27.69422
-0.18435, 0.80685, -10.71645, 0.86747, -0.71798, -0.16094, 27.55045
-1.09176, 0.18914, -10.89601, 0.77914, -0.51281, -0.21397, 27.79007
-0.61770, -0.11971, -11.18092, 0.79166, -0.27432, -0.12857, 27.69422
-0.30167, 0.02155, -11.63821, 0.72305, -0.16081, -0.04090, 27.69422
-0.43814, 0.18435, -12.21282, 0.58222, -0.12604, -0.07834, 27.79007
-0.46448, 0.10295, -13.01249, 0.48043, -0.14909, -0.19532, 27.98176
-0.75657, -0.32322, -13.78102, 0.34081, -0.11751, -0.18453, 27.64630
-1.00796, -0.72784, -14.67885, 0.21890, -0.03597, -0.09886, 27.55045
-0.74699, -0.72065, -15.49767, 0.02958, -0.03997, 0.01159, 27.69422
-0.42138, -0.57940, -15.23431, -0.11058, -0.17187, 0.16014, 27.79007
-0.73023, -0.29688, -14.90391, -0.24288, -0.15681, 0.25514, 27.64630
-0.61770, 0.11732, -14.44422, -0.51214, 0.04050, 0.23662, 27.55045
-0.13647, 0.42856, -14.24789, -0.63698, 0.14562, 0.17040, 27.79007
-0.12210, 0.38307, -13.94622, -0.73104, 0.14096, 0.12111, 27.69422
-0.53151, 0.42138, -13.70441, -0.88212, 0.17413, 0.09526, 27.55045
-0.71587, 0.27533, -13.72596, -0.96899, 0.24275, 0.09739, 27.83799
