measured_roll,measured_pitch,measured_yaw,filtered_roll,filtered_pitch,filtered_yaw
0.635,0.772,-0.003,1.434,-0.139,0.106
0.628,0.778,-0.009,1.493,-0.122,0.085
0.637,0.770,-0.009,1.537,-0.104,0.068
0.640,0.768,0.005,1.574,-0.083,0.056
0.635,0.772,-0.003,1.611,-0.070,0.044
0.615,0.787,-0.032,1.652,-0.075,0.035
0.671,0.735,-0.063,1.664,-0.091,0.027
0.655,0.749,-0.065,1.689,-0.108,0.023
0.569,0.821,-0.023,1.755,-0.099,0.023
0.502,0.864,0.015,1.840,-0.067,0.018
0.469,0.883,-0.009,1.925,-0.063,0.012
0.409,0.912,-0.009,2.020,-0.060,0.014
0.366,0.924,0.040,2.115,-0.011,0.010
0.308,0.951,0.002,2.218,-0.004,0.008
0.175,0.985,0.000,2.352,-0.007,0.013
0.136,0.988,0.009,2.476,0.013,0.014
0.047,0.991,0.006,2.608,0.057,-0.000
0.030,0.998,-0.002,2.719,0.027,0.004
0.030,-0.987,0.005,2.623,-0.058,0.030
0.034,-0.990,0.005,2.493,-0.137,0.075
0.146,-0.989,-0.002,2.283,-0.146,0.114
0.180,-0.979,0.016,2.003,-0.186,0.202
0.194,-0.978,0.015,1.664,-0.184,0.308
0.290,-0.953,0.024,1.271,-0.135,0.417
0.228,-0.971,0.015,0.866,-0.045,0.491
0.333,-0.942,0.008,0.462,0.066,0.496
0.347,-0.933,0.033,0.086,0.176,0.490
0.366,-0.927,0.031,-0.269,0.261,0.435
0.442,-0.895,0.027,-0.574,0.309,0.356
0.473,-0.879,0.029,-0.832,0.325,0.278
0.463,-0.884,0.028,-1.055,0.322,0.212
0.530,-0.841,0.057,-1.212,0.321,0.169
0.554,-0.825,0.060,-1.329,0.316,0.132
0.583,-0.806,0.058,-1.418,0.304,0.101
0.632,-0.768,0.068,-1.465,0.293,0.080
0.615,-0.785,0.049,-1.514,0.274,0.059
0.665,-0.747,0.011,-1.533,0.235,0.045
0.692,-0.721,0.007,-1.538,0.199,0.037
0.665,-0.741,0.061,-1.552,0.199,0.033
0.702,-0.711,0.036,-1.551,0.185,0.027
0.702,-0.711,0.033,-1.554,0.171,0.023
0.683,-0.725,0.064,-1.572,0.173,0.019
0.675,-0.732,0.061,-1.600,0.170,0.015
0.637,-0.762,0.073,-1.649,0.173,0.015
0.685,-0.726,0.041,-1.675,0.150,0.012
0.594,-0.805,0.009,-1.738,0.123,0.014
0.594,-0.804,0.006,-1.789,0.101,0.018
0.474,-0.878,0.031,-1.879,0.113,0.020
0.414,-0.908,0.026,-1.979,0.116,0.020
0.395,-0.919,0.003,-2.069,0.101,0.011
0.351,-0.932,0.030,-2.161,0.120,0.010
0.253,-0.967,0.011,-2.275,0.115,0.006
0.210,-0.976,0.012,-2.384,0.119,0.004
0.194,-0.977,0.017,-2.479,0.129,0.000
0.050,-0.999,0.000,-2.606,0.107,-0.003
0.030,0.994,0.003,-2.484,0.093,-0.016
0.024,0.998,0.001,-2.329,0.092,-0.019
0.050,0.993,0.005,-2.129,0.074,-0.033
0.182,0.982,0.009,-1.829,0.084,-0.036
0.151,0.987,0.009,-1.491,0.089,-0.042
0.199,0.976,0.017,-1.108,0.088,-0.054
0.308,0.950,-0.017,-0.692,0.094,-0.000
0.393,0.914,-0.040,-0.291,0.071,0.069
0.420,0.904,-0.032,0.079,0.031,0.113
0.422,0.901,-0.042,0.408,-0.023,0.145
0.451,0.881,-0.064,0.683,-0.088,0.166
0.484,0.862,-0.075,0.907,-0.147,0.169
0.594,0.795,-0.073,1.059,-0.180,0.154
0.582,0.802,-0.077,1.193,-0.205,0.136
0.600,0.787,-0.087,1.297,-0.224,0.120
0.614,0.786,-0.047,1.384,-0.214,0.102
0.562,0.827,-0.003,1.481,-0.179,0.081
0.589,0.808,-0.001,1.550,-0.149,0.064
0.588,0.809,-0.010,1.608,-0.129,0.050
0.620,0.783,-0.030,1.643,-0.122,0.040
0.620,0.781,-0.044,1.672,-0.124,0.032
0.626,0.774,-0.059,1.694,-0.134,0.025
0.661,0.743,-0.071,1.701,-0.144,0.020
0.652,0.752,-0.064,1.715,-0.151,0.015
0.603,0.792,-0.061,1.756,-0.156,0.011
0.562,0.825,-0.035,1.812,-0.146,0.010
0.487,0.874,-0.005,1.894,-0.118,0.005
0.384,0.922,-0.021,2.003,-0.109,0.006
0.389,0.919,-0.023,2.090,-0.105,0.007
0.312,0.950,-0.008,2.192,-0.093,0.009
0.170,0.985,0.003,2.326,-0.070,0.010
0.273,0.957,-0.028,2.398,-0.091,0.017
0.193,0.981,-0.006,2.490,-0.089,0.019
0.056,0.989,0.008,2.612,-0.027,0.010
0.044,0.996,-0.004,2.715,-0.048,0.021
0.040,0.997,-0.002,2.802,-0.066,0.020
0.044,-0.981,0.008,2.721,-0.182,0.057
0.059,-0.996,-0.004,2.607,-0.179,0.086
0.130,-0.991,0.001,2.424,-0.213,0.135
0.192,-0.978,0.016,2.167,-0.255,0.226
0.216,-0.975,-0.010,1.844,-0.231,0.303
0.238,-0.970,-0.013,1.472,-0.171,0.370
0.292,-0.956,-0.004,1.069,-0.091,0.430
0.298,-0.954,-0.006,0.656,0.009,0.444
0.373,-0.927,0.010,0.259,0.108,0.431
0.386,-0.922,0.003,-0.112,0.190,0.376
0.429,-0.903,0.003,-0.441,0.235,0.302
0.481,-0.876,0.012,-0.712,0.253,0.234
0.526,-0.846,0.043,-0.916,0.271,0.186
0.483,-0.873,0.034,-1.112,0.272,0.144
0.660,-0.749,0.035,-1.200,0.256,0.110
0.562,-0.816,0.075,-1.308,0.269,0.091
0.568,-0.811,0.080,-1.405,0.277,0.075
0.692,-0.714,0.073,-1.428,0.270,0.058
0.626,-0.779,0.024,-1.485,0.238,0.044
0.674,-0.738,0.013,-1.509,0.201,0.039
0.684,-0.719,0.085,-1.519,0.207,0.040
0.700,-0.697,0.111,-1.521,0.226,0.035
0.705,-0.704,0.061,-1.527,0.217,0.026
0.697,-0.714,0.042,-1.539,0.199,0.020
0.708,-0.705,0.030,-1.547,0.176,0.017
0.685,-0.726,0.041,-1.568,0.164,0.015
0.679,-0.733,0.030,-1.595,0.146,0.012
0.677,-0.734,0.037,-1.622,0.133,0.009
0.637,-0.764,0.066,-1.666,0.141,0.005
0.738,-0.673,-0.036,-1.650,0.090,0.004
0.633,-0.774,0.016,-1.689,0.079,0.010
0.507,-0.853,0.064,-1.776,0.109,0.017
0.586,-0.809,0.028,-1.818,0.104,0.014
0.525,-0.851,-0.017,-1.876,0.074,0.007
0.432,-0.900,0.025,-1.964,0.085,0.011
0.442,-0.894,0.031,-2.039,0.095,0.013
0.354,-0.934,0.013,-2.132,0.093,0.009
0.311,-0.946,0.027,-2.223,0.113,0.012
