measured_roll,measured_pitch,measured_yaw,filtered_roll,filtered_pitch,filtered_yaw
2.972,-0.042,0.000,3.019,-0.100,3.045
2.993,-0.095,0.000,3.030,-0.093,3.047
3.036,-0.016,0.000,3.040,-0.087,3.049
3.077,0.021,0.000,3.050,-0.080,3.050
3.093,0.029,-0.000,3.059,-0.075,3.050
3.091,0.013,0.000,3.068,-0.069,3.050
3.064,-0.033,0.000,3.077,-0.063,3.049
3.066,0.017,-0.000,3.086,-0.056,3.050
3.124,0.100,-0.000,3.093,-0.050,3.052
-3.131,0.055,-0.000,3.101,-0.048,3.053
3.140,0.026,0.000,3.108,-0.046,3.054
3.126,0.036,0.000,3.114,-0.045,3.054
3.134,0.036,0.000,3.119,-0.043,3.056
-3.118,0.055,0.000,3.122,-0.042,3.058
-3.092,0.068,-0.000,3.124,-0.042,3.059
-3.095,0.048,0.000,3.125,-0.041,3.059
-3.104,0.028,0.000,3.124,-0.039,3.057
-3.122,0.049,0.000,3.121,-0.038,3.055
3.133,0.043,0.000,3.116,-0.038,3.053
3.112,0.010,-0.000,3.110,-0.040,3.051
3.114,0.009,0.000,3.103,-0.041,3.050
3.111,0.039,0.000,3.094,-0.043,3.049
3.122,0.052,0.000,3.084,-0.046,3.048
3.113,0.049,0.000,3.073,-0.049,3.047
3.107,0.035,-0.000,3.060,-0.052,3.046
3.091,0.028,-0.000,3.046,-0.054,3.045
3.101,0.028,0.000,3.031,-0.057,3.045
3.069,0.017,0.000,3.013,-0.061,3.045
3.043,0.011,0.000,2.993,-0.063,3.046
3.049,0.021,-0.000,2.971,-0.063,3.048
3.027,-0.010,0.000,2.946,-0.062,3.049
2.974,-0.006,0.000,2.919,-0.058,3.051
2.954,-0.021,-0.000,2.891,-0.054,3.053
2.924,0.013,0.000,2.862,-0.048,3.055
2.894,0.016,0.000,2.832,-0.043,3.057
2.816,0.054,0.000,2.800,-0.038,3.059
2.785,0.122,0.000,2.770,-0.033,3.059
2.734,0.153,-0.000,2.740,-0.030,3.058
2.642,0.143,0.000,2.712,-0.028,3.056
2.574,0.163,0.000,2.683,-0.028,3.055
2.555,0.186,-0.000,2.656,-0.029,3.054
2.505,0.135,-0.000,2.627,-0.029,3.052
2.441,0.169,0.000,2.600,-0.029,3.048
2.295,0.133,0.000,2.574,-0.031,3.043
2.224,0.107,0.000,2.549,-0.034,3.039
2.147,0.075,0.000,2.525,-0.037,3.037
2.168,0.109,0.000,2.501,-0.041,3.036
2.181,0.072,0.000,2.476,-0.042,3.036
2.135,0.109,0.000,2.451,-0.043,3.032
2.039,0.105,0.000,2.428,-0.045,3.028
1.945,0.096,0.000,2.405,-0.047,3.023
1.878,0.112,0.000,2.382,-0.050,3.018
1.821,0.133,0.000,2.360,-0.054,3.015
1.771,0.124,0.000,2.337,-0.059,3.012
1.723,0.063,0.000,2.315,-0.065,3.008
1.637,0.054,0.000,2.294,-0.070,3.003
1.550,-0.005,0.000,2.273,-0.075,2.998
1.501,0.003,0.000,2.253,-0.080,2.994
1.450,-0.022,0.000,2.234,-0.086,2.990
1.333,-0.074,0.000,2.216,-0.092,2.986
1.360,-0.115,-0.000,2.199,-0.097,2.983
1.286,-0.113,-0.000,2.183,-0.101,2.978
1.155,-0.150,0.000,2.172,-0.104,2.976
1.151,-0.145,0.000,2.162,-0.107,2.974
1.124,-0.153,0.000,2.154,-0.110,2.972
1.113,-0.179,0.000,2.147,-0.114,2.970
1.081,-0.227,0.000,2.141,-0.118,2.969
1.107,-0.221,0.000,2.137,-0.120,2.968
1.073,-0.204,0.000,2.134,-0.121,2.967
1.102,-0.189,0.000,2.133,-0.121,2.966
1.088,-0.188,-0.000,2.132,-0.121,2.965
1.070,-0.174,0.000,2.132,-0.121,2.963
1.059,-0.165,0.000,2.135,-0.120,2.963
1.062,-0.149,0.000,2.140,-0.119,2.962
1.058,-0.146,-0.000,2.148,-0.119,2.961
1.066,-0.150,-0.000,2.158,-0.119,2.961
1.102,-0.151,-0.000,2.169,-0.120,2.961
1.133,-0.197,-0.000,2.181,-0.119,2.962
1.139,-0.145,-0.000,2.195,-0.118,2.964
1.120,-0.139,-0.000,2.210,-0.118,2.966
1.119,-0.129,0.000,2.230,-0.117,2.967
1.149,-0.109,0.000,2.253,-0.116,2.968
1.220,-0.086,0.000,2.277,-0.115,2.968
1.310,-0.093,-0.000,2.302,-0.116,2.969
1.415,-0.076,0.000,2.328,-0.117,2.972
1.516,-0.090,0.000,2.353,-0.119,2.975
1.637,-0.118,0.000,2.379,-0.124,2.978
1.383,0.176,0.000,2.404,-0.130,2.982
1.868,-0.232,0.000,2.429,-0.135,2.984
1.944,-0.207,0.000,2.455,-0.138,2.985
2.021,-0.192,0.000,2.481,-0.140,2.987
2.092,-0.162,0.000,2.506,-0.141,2.988
2.174,-0.140,-0.000,2.531,-0.144,2.988
2.223,-0.181,0.000,2.555,-0.148,2.987
2.248,-0.185,0.000,2.579,-0.152,2.985
2.281,-0.174,0.000,2.603,-0.154,2.982
2.323,-0.168,0.000,2.626,-0.155,2.979
2.242,-0.190,0.000,2.648,-0.156,2.977
2.193,-0.139,0.000,2.670,-0.159,2.976
2.339,-0.127,0.000,2.691,-0.163,2.976
2.435,-0.245,0.000,2.712,-0.167,2.976
2.421,-0.162,0.000,2.734,-0.169,2.975
2.456,-0.055,-0.000,2.756,-0.171,2.972
2.578,-0.049,0.000,2.780,-0.173,2.968
2.638,-0.180,0.000,2.804,-0.176,2.963
2.615,-0.157,0.000,2.826,-0.179,2.957
2.669,-0.151,-0.000,2.848,-0.182,2.952
2.725,-0.189,0.000,2.871,-0.182,2.947
2.835,-0.191,0.000,2.893,-0.180,2.942
2.784,-0.229,0.000,2.913,-0.175,2.936
2.729,-0.088,0.000,2.934,-0.167,2.931
2.852,0.032,-0.000,2.954,-0.162,2.928
2.939,-0.041,0.000,2.971,-0.162,2.925
2.913,-0.129,0.000,2.989,-0.163,2.922
2.910,-0.089,0.000,3.004,-0.163,2.920
2.941,-0.124,0.000,3.018,-0.161,2.919
2.988,-0.151,0.000,3.032,-0.157,2.918
3.009,-0.132,-0.000,3.046,-0.155,2.918
2.959,-0.124,0.000,3.058,-0.152,2.917
3.001,-0.079,0.000,3.070,-0.150,2.918
3.053,-0.135,0.000,3.081,-0.151,2.918
3.017,-0.150,-0.000,3.091,-0.152,2.919
3.002,-0.151,0.000,3.100,-0.152,2.921
3.073,-0.095,0.000,3.110,-0.151,2.923
-3.133,-0.074,0.000,3.119,-0.153,2.924
3.097,-0.128,0.000,3.129,-0.155,2.924
-3.131,-0.084,-0.000,3.139,-0.157,2.922
-3.114,-0.115,-0.000,-3.135,-0.159,2.920
-3.114,-0.165,0.000,-3.127,-0.161,2.918
-3.132,-0.180,-0.000,-3.121,-0.161,2.916
-3.117,-0.133,-0.000,-3.115,-0.160,2.915
-3.073,-0.101,-0.000,-3.110,-0.160,2.914
-3.075,-0.137,0.000,-3.108,-0.161,2.912
-3.109,-0.179,-0.000,-3.106,-0.159,2.911
-3.106,-0.173,-0.000,-3.105,-0.156,2.909
-3.110,-0.172,0.000,-3.105,-0.153,2.908
-3.107,-0.181,-0.000,-3.107,-0.150,2.907
-3.132,-0.174,-0.000,-3.111,-0.146,2.906
3.141,-0.142,0.000,-3.116,-0.142,2.907
-3.137,-0.114,0.000,-3.123,-0.138,2.908
-3.130,-0.098,0.000,-3.130,-0.136,2.909
3.133,-0.094,0.000,-3.139,-0.135,2.910
-3.132,-0.088,0.000,3.135,-0.134,2.910
-3.137,-0.110,0.000,3.123,-0.134,2.911
3.141,-0.128,0.000,3.110,-0.133,2.912
3.127,-0.132,0.000,3.094,-0.130,2.914
-3.138,-0.069,-0.000,3.077,-0.127,2.917
3.134,-0.029,0.000,3.058,-0.125,2.921
3.121,-0.003,0.000,3.035,-0.122,2.925
3.115,-0.024,-0.000,3.008,-0.118,2.929
3.084,-0.088,0.000,2.980,-0.112,2.931
3.072,-0.061,0.000,2.955,-0.104,2.932
3.009,0.047,-0.000,2.930,-0.100,2.932
2.919,0.026,0.000,2.902,-0.101,2.932
2.827,-0.117,-0.000,2.875,-0.101,2.934
2.756,-0.172,0.000,2.848,-0.098,2.938
2.708,-0.071,0.000,2.822,-0.094,2.942
2.720,-0.050,0.000,2.797,-0.091,2.946
2.648,0.023,0.000,2.773,-0.089,2.947
2.602,0.102,0.000,2.749,-0.089,2.949
2.586,0.007,-0.000,2.724,-0.089,2.950
2.523,-0.048,0.000,2.701,-0.086,2.949
2.488,0.021,0.000,2.679,-0.083,2.948
2.423,0.032,0.000,2.657,-0.080,2.946
2.389,0.113,0.000,2.637,-0.079,2.944
2.379,0.084,0.000,2.615,-0.081,2.942
2.377,-0.013,-0.000,2.593,-0.083,2.940
2.355,-0.028,0.000,2.571,-0.083,2.938
2.275,-0.043,0.000,2.548,-0.081,2.934
2.191,0.013,0.000,2.526,-0.079,2.929
2.105,0.015,0.000,2.505,-0.077,2.924
2.031,0.006,0.000,2.484,-0.077,2.920
1.990,-0.022,0.000,2.463,-0.079,2.916
1.944,-0.042,0.000,2.443,-0.081,2.914
1.911,-0.042,0.000,2.422,-0.082,2.912
1.867,-0.054,0.000,2.401,-0.084,2.910
1.808,-0.084,0.000,2.381,-0.084,2.908
1.735,-0.051,0.000,2.362,-0.084,2.906
1.688,-0.024,0.000,2.344,-0.084,2.904
1.649,-0.005,0.000,2.326,-0.084,2.902
1.621,-0.017,0.000,2.309,-0.086,2.900
1.570,-0.039,0.000,2.293,-0.088,2.899
1.518,-0.032,0.000,2.278,-0.091,2.899
1.470,-0.054,0.000,2.263,-0.093,2.900
1.467,-0.057,-0.000,2.249,-0.095,2.901
1.466,-0.055,-0.000,2.236,-0.097,2.900
1.420,-0.060,-0.000,2.224,-0.099,2.899
1.293,0.001,0.000,2.215,-0.101,2.898
1.219,0.024,0.000,2.208,-0.105,2.898
1.193,0.004,-0.000,2.204,-0.109,2.899
1.228,-0.066,0.000,2.202,-0.115,2.900
1.269,-0.033,0.000,2.197,-0.122,2.903
1.257,-0.110,-0.000,2.194,-0.125,2.905
1.238,-0.097,-0.000,2.192,-0.126,2.904
1.195,-0.053,0.000,2.193,-0.126,2.902
1.172,-0.038,0.000,2.195,-0.127,2.901
1.180,-0.055,0.000,2.197,-0.130,2.900
1.198,-0.075,0.000,2.200,-0.133,2.901
1.203,-0.125,0.000,2.203,-0.137,2.902
1.238,-0.175,0.000,2.208,-0.140,2.903
1.251,-0.153,0.000,2.214,-0.140,2.903
1.252,-0.132,0.000,2.222,-0.141,2.903
1.256,-0.101,0.000,2.230,-0.141,2.903
1.277,-0.081,-0.000,2.241,-0.141,2.903
1.273,-0.100,-0.000,2.253,-0.141,2.904
