ax, ay, az, gx, gy, gz, temp
1.31442, -1.16119, -8.22408, 3.92779, -0.91890, 1.33404, 26.40031
-0.53151, -4.90333, -10.41957, 2.98012, 0.42887, -0.07434, 26.25654
-2.28646, -4.25210, -7.78116, 3.05020, -0.01239, -0.12057, 26.11277
-1.29766, -5.77721, -10.10353, 2.96626, -0.54945, 1.08917, 26.06485
-2.36787, -5.07571, -6.48829, 2.61013, -0.01439, 0.46884, 26.20861
-1.25217, -6.17704, -6.84981, 2.95973, 0.01466, 0.71199, 26.44823
-1.05105, -7.70215, -6.98628, 2.70166, -0.46911, 0.38570, 26.20861
-1.81959, -7.74764, -5.82988, 2.53752, -0.03890, 0.01679, 26.25654
-1.22823, -6.91924, -4.77643, 2.23229, -0.14642, 0.14136, 26.30446
-2.59053, -9.20331, -4.79798, 1.90294, 0.01439, 0.01092, 26.25654
-1.50835, -8.90404, -2.88262, 2.05856, -0.19385, 0.02305, 25.92108
-1.38145, -8.82503, -2.54264, 2.03910, -0.17134, 0.06702, 26.20861
-0.44293, -9.25120, -1.81959, 2.19632, -0.43460, 0.23409, 26.11277
-1.02472, -10.28070, -2.65038, 1.66512, -0.25900, -0.24181, 26.06485
-1.08936, -10.14663, -2.43969, 1.20015, -0.18546, -0.23449, 26.20861
-0.87149, -9.67018, -1.19231, 0.61033, -0.02252, -0.04916, 26.44823
-1.03430, -10.38605, -0.66319, 0.31189, 0.17493, -0.18413, 26.20861
-1.58736, -11.83933, -2.09014, -0.23569, 0.24648, -0.14296, 25.92108
-1.38145, -12.84968, -2.72221, -1.58119, 0.56890, -0.19638, 26.20861
-1.38385, -11.71004, -1.44131, -2.91363, 1.23719, -0.23062, 26.25654
0.28730, -9.54329, 0.46687, -3.01462, 0.27219, 0.00706, 26.30446
0.07422, -9.04769, -3.56497, -3.45589, -0.93835, -0.30736, 26.20861
-1.84354, -8.75560, -6.21295, -3.95670, 0.36599, -0.67308, 26.25654
-0.81882, -7.74524, -4.93206, -4.24968, 0.39476, -0.64257, 26.40031
-1.50356, -6.95994, -7.02459, -4.36572, -0.66549, -0.14989, 25.92108
0.51475, -5.82988, -6.22971, -4.12324, -0.37585, 0.12457, 26.25654
-0.90022, -4.95121, -6.75165, -3.87889, 0.01585, -0.38304, 26.20861
-0.76375, -2.62165, -7.65666, -3.73181, -0.66323, -0.55131, 26.25654
-0.76614, -1.29047, -9.04529, -3.44190, -0.10046, -0.30617, 26.11277
-2.70066, -0.94571, -9.10754, -3.33291, 0.37878, -0.65763, 26.25654
-0.86910, 0.66559, -9.84496, -3.09083, 0.48923, -0.15362, 26.25654
-1.51553, 1.00078, -10.25437, -3.36182, 0.64724, -0.18386, 26.20861
-1.26174, 2.08774, -9.68455, -3.45242, 0.54891, -0.05969, 26.20861
-0.98641, 3.53384, -9.88087, -3.45895, 0.93928, 0.08500, 26.06485
0.00958, 5.06374, -7.08444, -3.16131, 0.44752, 0.45006, 26.30446
-0.09816, 5.76284, -7.69975, -2.92562, 0.55677, 0.57050, 26.20861
1.14203, 6.09085, -6.05733, -2.83823, 1.11155, 0.61540, 26.25654
2.03747, 6.44040, -6.08845, -2.43627, 0.68601, 0.15202, 26.06485
2.10929, 7.24007, -5.22654, -2.06082, 0.36892, -0.12470, 25.92108
1.72622, 6.96473, -5.49709, -1.81421, 0.10379, -0.27872, 26.20861
1.86029, 7.69257, -4.58250, -1.80888, 0.12297, -0.36745, 26.25654
1.23780, 7.54652, -4.08211, -1.51844, -0.01186, -0.58702, 26.11277
0.78051, 8.03255, -4.98712, -1.45355, 0.02785, -0.60554, 26.06485
0.53870, 8.65025, -3.56257, -1.39986, -0.00413, -0.49629, 26.20861
0.43335, 9.22246, -3.15316, -1.32818, 0.22223, -0.37824, 26.44823
0.10295, 10.07001, -1.97761, -0.87000, 0.06675, -0.38424, 26.49615
0.28970, 9.98861, -2.14999, -0.68454, 0.02571, -0.08633, 26.06485
0.26097, 9.22246, -1.75974, -0.48336, -0.28565, -0.08380, 26.25654
-0.13647, 9.40921, -1.73101, -0.30270, -0.12617, -0.14962, 26.20861
0.10056, 9.79229, -1.92973, 0.13416, -0.06262, 0.10032, 26.06485
1.04627, 9.70131, -2.42293, 0.47284, -0.23728, 0.21877, 26.20861
2.01352, 10.56322, -0.95768, 1.22466, -0.47484, 0.30750, 26.44823
1.97761, 9.74440, -1.30484, 2.15608, -0.30137, -0.00786, 26.25654
0.77093, 9.08121, -3.40934, 2.72884, -0.76022, -0.28138, 26.20861
-0.55785, 8.03015, -4.57532, 3.04047, -0.51001, 0.08487, 26.20861
0.32561, 7.10838, -4.80516, 3.15518, 0.30776, 0.08820, 26.20861
0.34477, 5.82749, -5.19781, 3.39966, -0.55957, -0.21797, 26.25654
-1.82438, 5.67665, -6.05254, 3.58405, -0.58635, -0.21344, 26.25654
-0.09337, 5.13556, -7.10599, 3.72768, -0.02864, 0.37998, 26.25654
-0.02155, 3.00951, -8.20732, 3.72008, -0.95807, -0.05516, 26.40031
-1.26174, 2.49955, -8.90643, 3.81521, -1.22533, 0.02092, 26.20861
-2.75573, 0.99120, -10.39802, 3.65000, 0.27086, -0.18213, 26.25654
1.20907, 0.57940, -9.73961, 3.14399, 0.29084, -0.01212, 26.25654
-3.25851, -0.59376, -9.75398, 2.91590, -0.45352, -0.12910, 26.30446
-2.49715, -0.61052, -8.83939, 2.86008, 0.14096, 0.48869, 26.25654
0.27533, -2.73657, -9.09797, 3.39700, 0.11231, 0.59568, 26.20861
-1.75495, -3.37104, -8.87052, 3.13293, -0.05209, 0.49908, 26.20861
-1.40061, -3.40934, -8.27676, 2.98105, 0.48509, 0.96619, 26.30446
-1.45567, -4.81953, -7.18500, 3.22033, -0.05649, 0.60847, 26.11277
-1.40779, -4.80037, -9.65821, 2.49249, 0.55877, 0.64324, 25.87315
-0.38786, -4.89135, -6.04775, 2.56444, 0.26340, 0.29764, 26.20861
-1.58496, -5.35822, -6.21056, 3.06712, -0.38864, 0.37251, 26.25654
-1.69031, -6.81150, -7.29274, 2.66809, 0.13097, 0.48909, 26.20861
-1.13725, -7.27837, -5.56891, 2.50342, -0.41581, 0.40755, 26.30446
-1.15161, -7.90326, -5.22654, 2.43267, -0.34240, 0.25434, 26.06485
-1.23541, -8.35816, -5.80115, 2.25054, -0.19865, -0.03118, 26.40031
-2.06859, -8.56645, -4.09887, 2.01912, -0.31896, -0.18133, 26.30446
-2.20506, -9.33739, -3.81875, 2.25734, -0.50348, 0.04077, 26.20861
-2.01352, -9.44513, -3.11725, 1.79796, -0.35333, 0.19598, 26.25654
-1.90818, -8.54251, -1.67834, 1.94344, -0.33601, 0.00973, 26.40031
-1.55623, -9.50738, -2.33914, 1.97888, -0.44233, 0.25913, 26.11277
-0.32801, -9.92397, -1.14922, 1.59638, -0.37798, -0.05902, 26.40031
-0.20590, -10.03649, -0.41180, 1.20761, -0.28058, -0.28805, 26.25654
-2.01831, -10.76194, -1.17555, 1.24172, -0.31856, -0.36052, 26.11277
-1.07979, -10.51294, -0.13647, 0.81577, -0.41941, -0.00480, 25.92108
-1.10373, -11.53287, -0.15562, 0.36226, -0.21197, -0.12750, 26.25654
-2.33435, -12.24155, -0.73263, -0.53412, 0.08713, -0.06542, 26.40031
-2.22182, -12.20564, -0.99599, -1.49672, 0.52493, 0.10712, 26.25654
-3.03345, -12.80419, -2.30083, -2.52127, 0.95367, 0.02092, 26.44823
-1.28569, -10.60871, -0.61770, -3.49959, 1.58892, 0.23728, 26.11277
-0.27533, -8.35816, -2.58095, -3.36755, 0.91157, -0.29138, 26.25654
-0.13408, -6.61278, -2.03028, -3.36356, 0.78673, -0.55851, 26.20861
-1.07260, -6.76362, -4.43885, -3.19395, -0.08207, -0.88412, 26.25654
-0.99120, -6.02142, -5.22175, -3.26843, 0.30110, -0.19878, 26.44823
-0.15323, -7.29513, -6.90488, -3.21713, -0.41462, -0.25141, 26.25654
-1.77650, -6.81150, -7.76440, -3.64681, -0.24368, -0.74743, 26.25654
-0.84994, -4.99909, -8.89685, -3.54102, -0.08274, -0.18999, 26.44823
-1.28569, -4.55138, -10.07480, -3.62456, -0.00893, -0.38437, 26.11277
-1.38864, -3.06937, -7.41484, -3.53476, -0.41062, -0.26340, 26.30446
-0.17238, -1.05824, -10.45308, -3.15758, -0.06808, 0.17107, 26.25654
-1.71664, 0.49799, -8.20253, -3.35023, 0.65603, -0.53479, 26.20861
-1.03669, 0.45969, -9.52892, -2.98971, 0.20438, 0.10738, 26.11277
-1.88424, 0.88585, -8.82024, -3.34437, 0.83110, -0.03331, 26.11277
-0.73741, 2.78685, -7.27837, -3.05726, 0.81857, 0.00027, 26.30446
-1.02711, 2.69827, -8.63349, -3.02635, 0.43247, 0.06408, 26.30446
-1.48440, 3.48356, -8.16902, -3.40606, 0.82643, 0.48003, 26.30446
0.90740, 4.72137, -6.52181, -3.26043, 0.80618, 0.65310, 26.25654
1.82917, 6.50744, -6.15549, -3.02648, 1.03201, 0.50974, 26.20861
1.48440, 7.39808, -6.23929, -2.37565, 1.28075, -0.07035, 26.11277
1.99437, 7.58722, -6.32788, -1.99953, 1.41598, -0.15375, 26.06485
2.74376, 7.65905, -5.53061, -1.85951, 1.33111, -0.20038, 26.11277
2.82276, 7.58962, -4.62560, -1.62462, 0.97912, -0.37531, 26.11277
2.24337, 8.59040, -2.53307, -1.41172, 0.61873, -0.49189, 26.20861
2.43011, 8.54969, -2.79164, -1.16178, 0.28285, -0.39863, 26.25654
