ax, ay, az, gx, gy, gz, temp
0.37110, 0.42617, -9.69173, 0.05902, 0.01332, 1.23345, 25.01054
0.37350, 0.35434, -9.62708, 0.04197, -0.00306, 1.27569, 25.01054
0.11732, -0.24900, -9.46428, -0.00293, 0.00200, 1.14259, 24.81885
-0.15562, -0.73263, -9.63187, -0.02118, -0.00759, 0.66935, 24.67508
-0.37350, 0.02873, -9.52892, 0.02238, 0.00280, 0.08833, 25.01054
0.14365, 0.24181, -9.62948, 0.05223, 0.01466, 0.05063, 24.86678
0.23703, 0.02394, -9.57202, 0.04197, 0.00613, 0.05423, 24.72301
0.34477, 0.13168, -9.63906, 0.09073, -0.03158, 0.06728, 24.72301
0.16520, 0.01197, -9.66060, 0.03717, -0.05223, 0.04450, 24.86678
0.47405, 0.16999, -9.75637, 0.09340, -0.14482, 0.07341, 24.72301
0.99120, 0.03112, -9.99340, 0.17107, -0.34907, 0.21144, 24.86678
1.06781, 0.21787, -10.05325, 0.04210, -0.68774, 0.09806, 24.72301
0.56743, 0.05507, -9.88566, 0.06075, -0.97485, 0.04743, 24.86678
-0.14365, 0.09337, -9.71088, 0.02212, -1.08330, 0.05809, 24.53132
0.78051, 0.90261, -9.47386, 0.00959, -1.08623, 0.19265, 24.72301
0.14365, 0.33519, -9.41640, 0.02611, -1.02255, 0.37518, 24.86678
-0.45011, -0.08380, -9.36372, 0.05263, -0.97166, 0.47497, 24.91470
-0.50278, -0.12929, -9.40921, 0.06115, -0.87853, 0.55451, 24.86678
-0.87628, -0.11492, -9.37330, 0.07754, -0.79086, 0.59781, 24.86678
-0.32561, 0.21069, -9.72764, 0.11111, -0.88346, 0.65710, 24.53132
-0.67756, -0.44293, -9.62469, 0.09553, -1.08051, 0.57196, 24.72301
-1.69988, -0.57700, -9.56244, 0.07155, -1.24598, 0.27779, 24.86678
-2.11408, -0.42138, -9.50738, 0.02838, -1.50818, 0.07741, 24.72301
-2.33674, -0.32561, -9.16500, -0.03304, -1.67192, -0.09579, 24.72301
-2.48039, -0.20351, -9.10275, -0.16494, -1.69204, -0.19505, 24.72301
-2.66475, 0.21069, -9.13627, -0.35133, -1.82207, -0.20518, 24.86678
-2.54743, 0.05507, -9.08121, -0.39210, -1.89042, -0.30323, 24.62716
-3.50751, -0.79966, -8.54969, -0.02518, -1.80315, -0.45898, 24.72301
-3.26090, 0.75896, -8.66701, 0.00213, -1.77917, -0.18479, 25.05847
-3.67989, 0.08380, -8.62152, 0.04290, -1.73041, 0.04423, 24.91470
-3.99113, -0.02634, -8.53294, 0.11604, -1.66939, 0.16494, 24.81885
