measured_roll,measured_pitch,measured_yaw,filtered_roll,filtered_pitch,filtered_yaw
2.929,-1.178,0.000,2.989,-0.495,-3.070
2.751,-1.360,0.000,2.986,-0.537,-3.067
1.529,-1.493,-0.000,2.983,-0.578,-3.062
0.358,-1.354,0.000,2.980,-0.620,-3.057
0.185,-1.167,0.000,2.975,-0.661,-3.049
0.125,-0.987,0.000,2.969,-0.703,-3.040
0.095,-0.823,0.000,2.962,-0.745,-3.029
0.077,-0.674,-0.000,2.952,-0.787,-3.016
0.065,-0.541,0.000,2.940,-0.830,-3.000
0.055,-0.422,0.000,2.924,-0.873,-2.981
0.047,-0.315,0.000,2.906,-0.916,-2.959
0.040,-0.218,0.000,2.883,-0.960,-2.933
0.034,-0.130,0.000,2.855,-1.003,-2.904
0.028,-0.049,0.000,2.822,-1.045,-2.870
0.021,0.024,0.000,2.783,-1.086,-2.831
0.015,0.091,0.000,2.738,-1.125,-2.787
0.009,0.151,0.000,2.687,-1.161,-2.738
0.003,0.204,0.000,2.630,-1.194,-2.683
-0.002,0.251,-0.000,2.569,-1.223,-2.624
-0.007,0.291,0.000,2.506,-1.248,-2.563
-0.012,0.324,0.000,2.445,-1.268,-2.505
-0.015,0.350,0.000,2.390,-1.283,-2.453
-0.018,0.368,-0.000,2.348,-1.293,-2.413
-0.021,0.378,0.000,2.322,-1.299,-2.389
-0.023,0.380,0.000,2.316,-1.301,-2.384
-0.024,0.373,0.000,2.329,-1.298,-2.399
-0.025,0.356,0.000,2.361,-1.290,-2.433
-0.026,0.331,0.000,2.408,-1.278,-2.481
-0.027,0.295,0.000,2.464,-1.260,-2.538
-0.028,0.250,0.000,2.524,-1.238,-2.599
-0.028,0.196,0.000,2.583,-1.210,-2.661
-0.029,0.135,0.000,2.638,-1.178,-2.719
-0.030,0.067,0.000,2.687,-1.142,-2.771
-0.031,-0.006,0.000,2.730,-1.102,-2.818
-0.032,-0.081,0.000,2.765,-1.061,-2.860
-0.034,-0.157,-0.000,2.794,-1.018,-2.896
-0.036,-0.232,0.000,2.817,-0.974,-2.927
-0.039,-0.307,0.000,2.836,-0.929,-2.954
-0.042,-0.381,-0.000,2.849,-0.885,-2.978
-0.047,-0.455,0.000,2.860,-0.841,-2.998
-0.053,-0.532,0.000,2.867,-0.797,-3.015
-0.061,-0.613,0.000,2.871,-0.754,-3.030
-0.070,-0.702,-0.000,2.874,-0.712,-3.043
-0.083,-0.802,0.000,2.875,-0.670,-3.053
-0.101,-0.916,0.000,2.875,-0.628,-3.062
-0.130,-1.048,-0.000,2.875,-0.586,-3.069
-0.182,-1.200,0.000,2.873,-0.545,-3.075
-0.327,-1.370,0.000,2.871,-0.503,-3.079
-1.563,-1.512,0.000,2.869,-0.460,-3.083
-2.896,-1.369,0.000,2.867,-0.416,-3.085
-3.048,-1.181,0.000,2.864,-0.372,-3.088
-3.105,-1.003,0.000,2.861,-0.326,-3.089
-3.139,-0.840,0.000,2.858,-0.279,-3.091
3.119,-0.694,0.000,2.854,-0.231,-3.093
3.098,-0.559,-0.000,2.850,-0.181,-3.095
3.079,-0.435,0.000,2.845,-0.131,-3.098
3.059,-0.316,0.000,2.840,-0.080,-3.100
3.040,-0.202,-0.000,2.834,-0.030,-3.104
3.020,-0.091,0.000,2.828,0.019,-3.107
3.001,0.014,0.000,2.822,0.067,-3.111
2.982,0.111,0.000,2.817,0.111,-3.115
2.965,0.198,0.000,2.811,0.152,-3.119
2.950,0.272,-0.000,2.807,0.187,-3.122
2.937,0.332,0.000,2.803,0.216,-3.124
2.929,0.375,0.000,2.801,0.238,-3.125
2.924,0.402,-0.000,2.800,0.252,-3.125
2.924,0.413,0.000,2.800,0.258,-3.123
2.927,0.409,0.000,2.803,0.256,-3.119
2.934,0.390,0.000,2.807,0.245,-3.114
2.944,0.357,0.000,2.812,0.227,-3.107
2.955,0.311,0.000,2.817,0.201,-3.098
2.967,0.253,0.000,2.823,0.169,-3.089
2.980,0.185,0.000,2.829,0.132,-3.079
2.992,0.106,0.000,2.835,0.091,-3.069
3.004,0.020,-0.000,2.840,0.046,-3.059
3.015,-0.074,0.000,2.844,-0.000,-3.049
3.024,-0.173,0.000,2.846,-0.048,-3.039
3.031,-0.276,-0.000,2.847,-0.096,-3.030
3.037,-0.383,0.000,2.847,-0.144,-3.022
3.041,-0.492,0.000,2.846,-0.191,-3.014
3.043,-0.604,-0.000,2.844,-0.238,-3.006
3.044,-0.717,0.000,2.840,-0.283,-3.000
3.042,-0.832,0.000,2.836,-0.327,-2.993
3.038,-0.949,0.000,2.831,-0.371,-2.987
3.031,-1.066,0.000,2.826,-0.413,-2.981
3.017,-1.185,0.000,2.820,-0.455,-2.974
2.989,-1.304,0.000,2.813,-0.496,-2.967
2.915,-1.422,0.000,2.806,-0.536,-2.960
2.348,-1.533,0.000,2.798,-0.577,-2.950
0.227,-1.478,-0.000,2.790,-0.617,-2.940
0.076,-1.364,-0.000,2.780,-0.657,-2.927
0.035,-1.252,0.000,2.769,-0.697,-2.911
0.018,-1.142,0.000,2.755,-0.738,-2.893
0.010,-1.035,0.000,2.740,-0.778,-2.871
0.006,-0.931,0.000,2.721,-0.819,-2.846
0.004,-0.831,-0.000,2.698,-0.859,-2.816
0.003,-0.735,0.000,2.671,-0.899,-2.781
0.003,-0.644,0.000,2.638,-0.938,-2.741
0.002,-0.556,0.000,2.600,-0.977,-2.695
0.002,-0.473,-0.000,2.554,-1.014,-2.642
0.001,-0.394,0.000,2.502,-1.049,-2.583
-0.001,-0.318,0.000,2.443,-1.081,-2.518
-0.004,-0.246,-0.000,2.377,-1.110,-2.448
-0.007,-0.177,-0.000,2.306,-1.136,-2.374
-0.012,-0.112,-0.000,2.232,-1.157,-2.299
-0.017,-0.051,0.000,2.159,-1.174,-2.226
-0.023,0.005,0.000,2.091,-1.187,-2.159
-0.030,0.055,0.000,2.031,-1.197,-2.102
-0.037,0.097,0.000,1.983,-1.204,-2.059
-0.044,0.129,0.000,1.950,-1.208,-2.031
-0.051,0.151,0.000,1.934,-1.210,-2.022
-0.058,0.162,0.000,1.936,-1.211,-2.031
-0.065,0.162,0.000,1.956,-1.209,-2.059
-0.070,0.150,0.000,1.992,-1.205,-2.103
-0.076,0.128,0.000,2.043,-1.198,-2.162
-0.081,0.096,0.000,2.105,-1.187,-2.232
-0.086,0.055,0.000,2.173,-1.172,-2.308
-0.091,0.007,-0.000,2.244,-1.152,-2.386
-0.095,-0.049,0.000,2.313,-1.128,-2.463
-0.100,-0.111,0.000,2.378,-1.100,-2.535
-0.105,-0.179,0.000,2.437,-1.068,-2.601
-0.109,-0.253,0.000,2.489,-1.034,-2.660
-0.114,-0.333,0.000,2.534,-0.997,-2.711
-0.120,-0.420,0.000,2.572,-0.958,-2.756
-0.126,-0.514,0.000,2.604,-0.919,-2.794
-0.132,-0.615,0.000,2.631,-0.878,-2.827
-0.141,-0.725,0.000,2.653,-0.838,-2.856
-0.152,-0.844,-0.000,2.671,-0.797,-2.880
-0.167,-0.973,0.000,2.685,-0.756,-2.902
-0.193,-1.111,0.000,2.697,-0.714,-2.921
